"","agent","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","prev_std","load_std","Stock","plot.agent"
"379","my_arc",1105,"Pitt",2014,1793,2012,"SR_cov_resid",0.156150326932456,13,5,0.384615384615385,529.733265229,203.743563549615,-1.06376729938797,-0.45360388917475,"Pitt","M. arcticus"
"380","my_arc",1106,"Pitt",2015,1794,2013,"SR_cov_resid",-0.564502240957588,32,6,0.1875,1465.28627402333,274.741176379375,-1.81297766284281,-0.452685652976966,"Pitt","M. arcticus"
"381","my_arc",1112,"Quesnel",2011,1920,2009,"SR_cov_resid",-0.394221253181931,20,19,0.95,775052.402313211,736299.78219755,1.0851873040825,0.306582593086108,"Quesnel","M. arcticus"
"382","my_arc",1113,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,18,12,0.666666666666667,207449.33324225,138299.555494833,0.00827354588074366,-0.250514310130278,"Quesnel","M. arcticus"
"383","my_arc",1114,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,38,36,0.947368421052632,161675.261957316,153166.037643774,1.07518500911468,-0.295441116819646,"Quesnel","M. arcticus"
"384","my_arc",1115,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,158,139,0.879746835443038,215063.957906749,189201.836386317,0.818164011840363,-0.243040629928565,"Quesnel","M. arcticus"
"385","my_arc",1116,"Quesnel",2016,1925,2014,"SR_cov_resid",0.626351354981836,32,28,0.875,1065895.92626278,932658.935479937,0.800121897499679,0.592042688955656,"Quesnel","M. arcticus"
"386","my_arc",1123,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,28,10,0.357142857142857,561.1588183457,200.413863694893,-1.16818686223882,-0.453573045299378,"Scotch","M. arcticus"
"387","my_arc",1127,"Scotch",2016,2043,2014,"SR_cov_resid",1.03152074279853,12,6,0.5,301412.679251863,150706.339625932,-0.625205135414406,-0.158290198017063,"Scotch","M. arcticus"
"388","my_arc",1132,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,24,9,0.375,93.8161976912222,35.1810741342083,-1.10031414638577,-0.454031737545588,"Seymour","M. arcticus"
