"","prev_prop_neg"
"arena2",0.6615
"c_b_cys",0.5175
"ce_sha",0.4475
"Circo.virus",0.808
"de_sal",0.191
"fa_mar",0.1115
"fl_psy",0.4615
"ic_hof",0.615
"ic_mul",0.487
"IcD",0.206
"ihnv",0.1045
"ku_thy",0.622
"lo_sal",0.329
"my_arc",0.5995
"nu_sal",0.6435
"pa_kab",0.1035
"pa_min",0.1465
"pa_pse",0.344
"pa_ther",0.299
"pspv",0.2115
"prv",0.3465
"Qin",0.817
"rlo",0.4785
"Rhabdo3_virus",0.247
"sch",0.3165
"sp_des",0.092
"te_bry",0.714
"te_mar",0.5165
"ven",0.4815
"richness",0.819
"rib",0.8275
