"","stock_name","brood_year","survival_index","value"
"768","Portage",2015,"SR_resid",-2.54221670985728
"825","Quesnel",2006,"SR_resid",-0.238344322356356
"826","Quesnel",2007,"SR_resid",-1.00982711519971
"827","Quesnel",2008,"SR_resid",-1.20611950198779
"828","Quesnel",2009,"SR_resid",-1.02141381061719
"829","Quesnel",2010,"SR_resid",0.484517354735783
"830","Quesnel",2011,"SR_resid",-1.39262255354055
"831","Quesnel",2012,"SR_resid",0.821413062210125
"832","Quesnel",2013,"SR_resid",-1.85333717197638
"833","Quesnel",2014,"SR_resid",-0.514348703650517
"834","Quesnel",2015,"SR_resid",-3.50299047807167
"891","Raft",2006,"SR_resid",-0.422121228616612
"892","Raft",2007,"SR_resid",-1.3257878834524
"893","Raft",2008,"SR_resid",-0.374701223699476
"894","Raft",2009,"SR_resid",-0.0310358288445437
"895","Raft",2010,"SR_resid",0.774435494971088
"896","Raft",2011,"SR_resid",-0.28566703507784
"897","Raft",2012,"SR_resid",0.314205658359934
"898","Raft",2013,"SR_resid",-2.05307053028246
"899","Raft",2014,"SR_resid",-1.28256951277555
"900","Raft",2015,"SR_resid",-4.082919749149
"944","Scotch",2006,"SR_resid",0.761930627659575
"945","Scotch",2007,"SR_resid",0.400459147150875
"946","Scotch",2008,"SR_resid",1.23798684674538
"947","Scotch",2009,"SR_resid",0.753153465800149
"948","Scotch",2010,"SR_resid",-0.184812769980438
"949","Scotch",2011,"SR_resid",-1.27873950071508
"950","Scotch",2012,"SR_resid",-0.315512706574565
"951","Scotch",2013,"SR_resid",-1.31912026056849
"952","Scotch",2014,"SR_resid",-0.149791112700047
"953","Scotch",2015,"SR_resid",-1.52806816122784
"1010","Seymour",2006,"SR_resid",1.25449117163088
"1011","Seymour",2007,"SR_resid",-0.845653433107581
"1012","Seymour",2008,"SR_resid",-0.0558541694127043
"1013","Seymour",2009,"SR_resid",0.635824322642658
"1014","Seymour",2010,"SR_resid",-0.131677701804647
"1015","Seymour",2011,"SR_resid",-0.80293402324481
"1016","Seymour",2012,"SR_resid",-1.30386796992837
"1017","Seymour",2013,"SR_resid",-2.68786152529669
"1018","Seymour",2014,"SR_resid",0.183108453556468
"1019","Seymour",2015,"SR_resid",-2.13627395974247
