"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"47","Portage",2012,1854,2010,"SR_cov_resid",0.312269365160085,5,5,1,1376.219754307,0,"c_b_cys"
"48","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,15,0.5,500.522250501133,0,"c_b_cys"
"49","Quesnel",2008,1917,2006,"SR_cov_resid",0.17607715548743,1,1,1,7.881013748,0,"c_b_cys"
"50","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,20,0.8,1751.36357895175,0,"c_b_cys"
"51","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,75,0.789473684210526,1468.97754899793,0,"c_b_cys"
"52","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,31,0.704545454545455,2580.98596283971,0,"c_b_cys"
"53","Raft",2012,1988,2010,"SR_cov_resid",0.921330610853227,1,1,1,5380.25969,0,"c_b_cys"
"54","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,16,1,1787.95769272225,0,"c_b_cys"
"55","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,19,0.655172413793103,5036.59481286432,0,"c_b_cys"
"56","Scotch",2008,2035,2006,"SR_cov_resid",0.367592322115916,4,4,1,46043.7622975,0,"c_b_cys"
"57","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,22,1,3468.58379927182,0,"c_b_cys"
"58","Seymour",2008,2102,2006,"SR_cov_resid",0.923360797503033,1,1,1,2923.581507,0,"c_b_cys"
"59","Seymour",2011,2105,2009,"SR_cov_resid",1.07400822811678,1,1,1,6806.308292,NA,"c_b_cys"
"60","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,19,1,4480.08792915579,0,"c_b_cys"
"61","Stellako",2011,2172,2009,"SR_cov_resid",1.26276082483126,2,2,1,58.9842545195,NA,"c_b_cys"
"62","Stellako",2012,2173,2010,"SR_cov_resid",1.08126350830362,6,6,1,2287.84369775267,0,"c_b_cys"
"63","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,44,0.936170212765957,1189.13517558452,0,"c_b_cys"
