"","2.5","25","50","75","97.5","agent"
"prev_std","-0.50698531584692","-0.138106440900501","-0.0215647800138878","0.10745455118487","0.432456621394504","arena1"
"b.prev_std.Stock.Birkenhead.","-0.878055396527384","-0.181309594576395","-0.0287018835301066","0.116156946268597","0.601386190377891","arena1"
"b.prev_std.Stock.Chilko.","-0.500220103624357","-0.211952056269854","-0.084634145224933","0.0261096491092675","0.2342260266979","arena1"
"b.prev_std.Stock.E.Stuart.","-0.742079117180488","-0.163672410083148","-0.0219354005579658","0.131460301906384","0.83447201976214","arena1"
"b.prev_std.Stock.Gates.","-0.774959972238771","-0.178411081950842","-0.0202605433944043","0.124244290269911","0.621829029026453","arena1"
"b.prev_std.Stock.Harrison.","-0.726140030298839","-0.16240969230354","-0.00613299590636633","0.153290518854859","0.798654466003161","arena1"
"b.prev_std.Stock.L.Shuswap.","-0.745794743384568","-0.173587068622325","-0.0195937607037132","0.130082233533268","0.659674029509977","arena1"
"b.prev_std.Stock.L.Stuart.","-0.727344771625673","-0.160332423434605","-0.0122879208506537","0.13096287093148","0.735736442341885","arena1"
"b.prev_std.Stock.Nadina.","-0.706408525480862","-0.16404684109079","-0.0126379975918359","0.137085386116514","0.806891388513827","arena1"
"b.prev_std.Stock.Pitt.","-0.248612323124269","-0.0639584290690823","0.0423455116959739","0.150284981859962","0.364561409587044","arena1"
"b.prev_std.Stock.Quesnel.","-0.761431024906547","-0.154568669068148","-0.00480608339946474","0.16096615468266","0.783628435114889","arena1"
"b.prev_std.Stock.Scotch.","-0.778811642884203","-0.158133155239969","-0.0147927312669288","0.131579653715619","0.641059005018083","arena1"
"b.prev_std.Stock.Seymour.","-0.755641129810707","-0.170731245598789","-0.00354267175119155","0.143297604603132","0.700123542602085","arena1"
"b.prev_std.Stock.Stellako.","-0.724073751104133","-0.146201330347502","-0.00364681557085934","0.149595045236446","0.819423713238223","arena1"
"b.prev_std.Stock.Weaver.","-0.805505696554935","-0.172387925108433","-0.0197771673324477","0.12531339610686","0.611605927157436","arena1"
"prev_std","-0.459889944316668","-0.255873513170497","-0.148209442973544","-0.0434865225297987","0.154718656932474","arena2"
"b.prev_std.Stock.Birkenhead.","-0.501845091059572","-0.264868116798671","-0.148447239719374","-0.0317921845380032","0.248465326810417","arena2"
"b.prev_std.Stock.Chilko.","-0.520442890376309","-0.283819013966547","-0.169908339989061","-0.0513488508272529","0.1681961576532","arena2"
"b.prev_std.Stock.E.Stuart.","-0.515294664016685","-0.266155176434966","-0.144373328966996","-0.0274515272710922","0.235452306394436","arena2"
"b.prev_std.Stock.Gates.","-0.524518647602856","-0.278168447457639","-0.160223465075221","-0.0448517255078977","0.213404115153435","arena2"
