"","prev_prop_neg"
"arena2",0.439
"c_b_cys",0.988
"ce_sha",0.718
"cr_sal",0.309
"de_sal",0.6845
"fa_mar",0.518
"fl_psy",0.751
"ic_hof",0.888
"ic_mul",0.9395
"ihnv",0.4085
"ku_thy",0.5085
"lo_sal",0.9395
"my_arc",0.8395
"pa_kab",0.806
"pa_min",0.7725
"pa_pse",0.18
"pa_ther",0.87
"pspv",0.632
"prv",0.1005
"rlo",0.8125
"sch",0.4195
"smallUK",0.447
"sp_des",0.1865
"te_bry",0.396
"te_mar",0.858
"ven",0.845
