"","prop0"
"richness",0.2215
"rib",0.271
"pa_ther",0.4465
"ic_hof",0.1825
"ic_mul",0.8425
"arena2",0.0215
"sp_des",0.9385
"te_bry",0.4815
"c_b_cys",0
"Qin",0.1545
"fl_psy",0.4395
"lo_sal",0.536
"IcD",0
"rlo",0.9685
"pspv",0.004
"my_arc",0.001
"pa_pse",0.258
"de_sal",0.9255
"sch",0.2705
"pa_min",0.3795
"ce_sha",0.9985
