"","V1","V2","V3"
"Sigma[Stock:load_std,load_std]","1118","pa_min","Neff"
"Sigma[Year:(Intercept),(Intercept)]","1442","pa_min","Neff"
"mean_PPD","4182","pa_min","Neff"
"log-posterior","506","pa_min","Neff"
"load_std","3453","my_arc","Neff"
"sst_anom","2087","my_arc","Neff"
"b[(Intercept) Stock:Birkenhead]","3813","my_arc","Neff"
"b[load_std Stock:Birkenhead]","4141","my_arc","Neff"
"b[(Intercept) Stock:Chilko]","2051","my_arc","Neff"
"b[load_std Stock:Chilko]","3199","my_arc","Neff"
"b[(Intercept) Stock:E.Stuart]","3486","my_arc","Neff"
"b[load_std Stock:E.Stuart]","4290","my_arc","Neff"
"b[(Intercept) Stock:Gates]","2052","my_arc","Neff"
"b[load_std Stock:Gates]","4127","my_arc","Neff"
"b[(Intercept) Stock:Harrison]","2880","my_arc","Neff"
"b[load_std Stock:Harrison]","5102","my_arc","Neff"
"b[(Intercept) Stock:L.Shuswap]","4104","my_arc","Neff"
"b[load_std Stock:L.Shuswap]","3338","my_arc","Neff"
"b[(Intercept) Stock:L.Stuart]","7744","my_arc","Neff"
"b[load_std Stock:L.Stuart]","4911","my_arc","Neff"
"b[(Intercept) Stock:Nadina]","3161","my_arc","Neff"
"b[load_std Stock:Nadina]","4240","my_arc","Neff"
"b[(Intercept) Stock:Pitt]","2089","my_arc","Neff"
"b[load_std Stock:Pitt]","4112","my_arc","Neff"
"b[(Intercept) Stock:Portage]","6183","my_arc","Neff"
"b[load_std Stock:Portage]","4581","my_arc","Neff"
"b[(Intercept) Stock:Quesnel]","1618","my_arc","Neff"
"b[load_std Stock:Quesnel]","4387","my_arc","Neff"
"b[(Intercept) Stock:Raft]","5680","my_arc","Neff"
"b[load_std Stock:Raft]","4079","my_arc","Neff"
"b[(Intercept) Stock:Scotch]","5978","my_arc","Neff"
"b[load_std Stock:Scotch]","4950","my_arc","Neff"
"b[(Intercept) Stock:Seymour]","2033","my_arc","Neff"
"b[load_std Stock:Seymour]","3980","my_arc","Neff"
