"","lower","25","mid","75","upper"
"arena2",-0.383103212669841,0.0928218568859136,0.258885673575274,0.419478621708525,0.847220019467272
"c_b_cys",-0.464919515130997,-0.146090473812989,0.0121888769209636,0.171386759022879,0.49054256526512
"ce_sha",-0.384628484795938,-0.0208544869192831,0.132038484951804,0.300525755191184,0.798286529585614
"cr_sal",-0.441296537021389,-0.0637224215043404,0.079699504561902,0.22651268738583,0.556554919175138
"de_sal",-0.912778743240787,-0.348110158754631,-0.148822862366347,0.0382935370897651,0.403325029570126
"fa_mar",-0.551054930117327,-0.171677425789515,-0.0219063950160228,0.134830078619919,0.558197647513783
"fl_psy",-0.652375743109121,-0.38242937507287,-0.248731102228706,-0.117427027474035,0.13947204381986
"ic_hof",-0.172275622236232,0.142680408243726,0.290456484342672,0.441316972865419,0.740753099590631
"ic_mul",-0.553260150524108,-0.276643333038667,-0.137094620950683,0.000776343714544087,0.278657709735651
"ihnv",-0.623291985239712,-0.133018521129027,0.0447910977011701,0.243624395889402,0.885357756967554
"lo_sal",-0.618734548796473,-0.217844032335488,-0.0425694743190557,0.115715908221256,0.481591682189725
"my_arc",-0.394142045725557,-0.119630025279057,0.0163173929041702,0.151791396916589,0.42371219315804
"pa_kab",-0.90885404108511,-0.478622925585193,-0.288109817908912,-0.0993811322510621,0.256009218993213
"pa_min",-0.277706152065869,0.0106311870388766,0.157209385828879,0.304790492842761,0.58037991759471
"pa_pse",-0.487112949554216,-0.146080316071189,0.0119818853967461,0.178968669239022,0.55889127994277
"pa_ther",-0.784871805304377,-0.377631684933061,-0.227029568995321,-0.0825580667574914,0.228967839917192
"pspv",-0.609790938264223,-0.188742277880056,-0.00810531444237248,0.214439295162956,1.02682909342598
"prv",-0.719011819583513,-0.368615536814321,-0.210945176946523,-0.0673588090241762,0.235693527026114
"rlo",-0.776991147660159,-0.462160163642392,-0.321103166616579,-0.183007525377278,0.0684957636699054
"sch",-1.3408975372259,-0.44149440668263,-0.104078881705711,0.118536355188547,0.626662117322706
"smallUK",-1.02512927427648,-0.32749607898198,-0.0615739860945612,0.160962681055664,0.679395919544123
"sp_des",-0.373372558188156,-0.0689369636503886,0.0754607056301406,0.215555237844083,0.562816273926028
"te_bry",-0.134243543481892,0.12987579473213,0.256849542969144,0.383315809072314,0.637306942639239
"te_mar",-0.604561823827268,-0.225496371026394,-0.0616023608960679,0.122491729460458,0.6325265233664
"ven",-0.921454287704484,-0.513118402836558,-0.353363918610549,-0.158677247546259,0.607937205089212
