"","Latitude","Longitude"
"1",51.082,-128.716
"2",51.082,-128.716
"3",51.082,-128.716
"4",51.082,-128.716
"5",48.473,-124.342
"6",49.329,-126.579
"7",51.393,-128.319
"8",51.393,-128.319
"9",51.393,-128.319
"10",51.393,-128.319
"11",51.393,-128.319
"12",51.017,-127.958
"13",51.017,-127.958
"14",51.017,-127.958
"15",51.017,-127.958
"16",51.017,-127.958
"17",50.954,-127.756
"18",50.954,-127.756
"19",50.853,-127.533
"20",50.853,-127.533
"21",50.853,-127.533
"22",50.853,-127.533
"23",50.702,-127.281
"24",50.702,-127.281
"25",50.702,-127.281
"26",50.702,-127.281
"27",50.702,-127.281
"28",50.737,-126.953
"29",50.737,-126.953
"30",50.737,-126.953
"31",50.737,-126.953
"32",50.737,-126.953
"33",50.932,-128.991
"34",51.072,-128.727
"35",51.278,-128.336
"36",51.278,-128.336
"37",51.278,-128.336
"38",51.397,-129.137
"39",51.397,-129.137
"40",51.397,-129.137
"41",51.397,-129.137
"42",51.328,-128.907
"43",51.328,-128.907
"44",51.328,-128.907
"45",51.328,-128.907
"46",51.29,-128.76
"47",51.29,-128.76
"48",51.29,-128.76
"49",51.29,-128.76
"50",51.021,-127.933
"51",51.021,-127.933
"52",50.955,-127.754
"53",50.955,-127.754
"54",50.955,-127.754
"55",50.955,-127.754
"56",50.854,-127.529
"57",50.854,-127.529
"58",50.854,-127.529
"59",50.741,-127.132
"60",50.741,-127.132
"61",50.741,-127.132
"62",50.741,-127.132
"63",50.727,-126.939
"64",50.727,-126.939
"65",48.477,-124.356
"66",48.537,-124.514
"67",51.082,-128.727
"68",51.082,-128.727
"69",51.082,-128.727
"70",51.082,-128.727
"71",51.213,-128.438
"72",51.213,-128.438
"73",51.213,-128.438
"74",51.278,-128.341
"75",51.278,-128.341
"76",51.278,-128.341
"77",51.023,-127.939
"78",50.848,-127.522
"79",50.848,-127.522
"80",50.639,-126.818
"81",50.639,-126.818
"82",50.639,-126.818
"83",50.639,-126.818
"84",50.94,-129.004
"85",50.94,-129.004
"86",50.94,-129.004
"87",50.94,-129.004
"88",50.94,-129.004
"89",50.94,-129.004
"90",51.022,-128.875
"91",51.022,-128.875
"92",51.022,-128.875
"93",51.022,-128.875
"94",51.084,-128.719
"95",51.084,-128.719
"96",51.084,-128.719
"97",51.084,-128.719
"98",51.084,-128.719
"99",51.145,-128.582
"100",51.145,-128.582
"101",51.145,-128.582
"102",51.145,-128.582
"103",51.278,-128.342
"104",51.249,-127.887
"105",51.249,-127.887
"106",51.249,-127.887
"107",51.249,-127.887
"108",51.062,-127.788
"109",51.062,-127.788
"110",51.062,-127.788
"111",51.062,-127.788
"112",51.062,-127.788
"113",50.999,-127.863
"114",50.999,-127.863
"115",50.999,-127.863
"116",50.954,-127.736
"117",50.954,-127.736
"118",50.954,-127.736
"119",50.954,-127.736
"120",50.954,-127.736
"121",50.897,-127.63
"122",50.897,-127.63
"123",50.897,-127.63
"124",50.897,-127.63
"125",50.897,-127.63
"126",50.954,-127.542
"127",50.954,-127.542
"128",50.954,-127.542
"129",50.849,-127.311
"130",50.806,-127.395
"131",50.806,-127.395
"132",50.806,-127.395
"133",50.806,-127.395
"134",50.806,-127.395
"135",50.791,-127.529
"136",50.791,-127.529
"137",50.791,-127.529
"138",50.791,-127.529
"139",50.791,-127.529
"140",50.829,-127.675
"141",50.829,-127.675
"142",50.829,-127.675
"143",50.835,-127.143
"144",50.775,-127.01
"145",50.775,-127.01
"146",50.775,-127.01
"147",50.775,-127.01
"148",50.775,-127.01
"149",50.674,-127.188
"150",50.674,-127.188
"151",50.674,-127.188
"152",50.674,-127.188
"153",50.723,-127.081
"154",50.723,-127.081
"155",50.723,-127.081
"156",50.723,-127.081
"157",50.723,-127.081
"158",50.703,-126.933
"159",50.703,-126.933
"160",50.703,-126.933
"161",50.703,-126.933
"162",50.703,-126.933
"163",50.757,-126.837
"164",50.757,-126.837
"165",50.757,-126.837
"166",50.757,-126.837
"167",50.757,-126.837
"168",50.681,-126.859
"169",50.681,-126.859
"170",50.681,-126.859
"171",50.681,-126.859
"172",50.681,-126.859
"173",50.61,-126.826
"174",50.61,-126.826
"175",50.504,-126.442
"176",50.504,-126.442
"177",50.453,-126.033
"178",50.461,-126.101
"179",50.461,-126.101
"180",50.484,-126.211
"181",50.506,-126.55
"182",50.506,-126.55
"183",50.819,-127.646
"184",50.819,-127.646
"185",50.316864,-125.466816
"186",50.316864,-125.466816
"187",50.316864,-125.466816
"188",50.316864,-125.466816
"189",50.316864,-125.466816
"190",50.316864,-125.466816
"191",50.316864,-125.466816
"192",50.316864,-125.466816
"193",50.316864,-125.466816
"194",50.316864,-125.466816
"195",50.316864,-125.466816
"196",50.316864,-125.466816
"197",50.316864,-125.466816
"198",50.316864,-125.466816
"199",50.316864,-125.466816
"200",50.050036,-125.216865
"201",50.050036,-125.216865
"202",50.050036,-125.216865
"203",50.050036,-125.216865
"205",50.050036,-125.216865
"206",50.050036,-125.216865
"207",50.050036,-125.216865
"208",50.050036,-125.216865
"209",50.416761,-126.000172
"210",50.416761,-126.000172
"211",50.416761,-126.000172
"212",50.416761,-126.000172
"213",50.416761,-126.000172
"214",50.183577,-125.366941
"215",50.266943,-125.350239
"216",50.30013,-125.333446
"217",50.30013,-125.333446
"218",50.30013,-125.333446
"219",50.30013,-125.333446
