"","agent","prev2.5","prev50","prev97.5","prop.neg","model"
"2","ce_sha",-0.319817921054758,0.200517698328068,0.819253652813874,0.1895,"prev"
"9","te_bry",-0.334641973299129,0.0920638884579352,0.506918896121299,0.325,"prev"
"5","my_arc",-0.381985627385959,0.0241196468620799,0.419145867741694,0.435,"prev"
"1","c_b_cys",-0.530747047320118,0.0146727372582129,0.502226648959268,0.4985,"prev"
"6","pa_min",-0.405162386448659,-0.00886330560565532,0.413895152546976,0.525,"prev"
"4","ic_mul",-0.476647235680109,-0.0409994982017597,0.373271455747465,0.575,"prev"
"7","pspv",-0.561812024329233,-0.175105531671546,0.232312648108873,0.8065,"prev"
"3","fl_psy",-0.651967017387068,-0.204228992995301,0.3001732092961,0.829,"prev"
"8","rlo",-0.843755032790321,-0.301567292568711,0.174630247086338,0.8985,"prev"
