"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"93","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,20.07303991,1.05647578473684,"ce_sha"
"96","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,4,0.0851063829787234,0.72683533675,0.0618583265319149,"ce_sha"
"97","Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,2,0.117647058823529,3.353120756,0.394484794823529,"ce_sha"
"99","Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,14,0.636363636363636,7.17838458742857,4.56806291927273,"ce_sha"
"102","Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,0,0,NA,NA,"de_sal"
"103","Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,2,0.0217391304347826,1.208115926,0.0262633896956522,"de_sal"
"104","Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,1,0.0050761421319797,346.0660045,1.75668022588832,"de_sal"
"105","Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"de_sal"
"106","Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"de_sal"
"107","Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,0,0,NA,NA,"de_sal"
"108","Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,0,0,NA,NA,"de_sal"
"109","Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,2,0.0833333333333333,26797.893662785,2233.15780523208,"de_sal"
"112","Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"de_sal"
"114","Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,3,0.1,5497.80614415433,549.780614415433,"de_sal"
"116","Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"de_sal"
"117","Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"de_sal"
"118","Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,0,0,NA,NA,"de_sal"
"120","Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,1,0.0625,1.732572415,0.1082857759375,"de_sal"
"121","Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,0,0,NA,NA,"de_sal"
"123","Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,0,0,NA,NA,"de_sal"
"126","Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,0.425362756,0.0223875134736842,"de_sal"
"129","Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,1,0.0212765957446809,1095.957268,23.3182397446809,"de_sal"
