"","taxa","mean","sd","50%","2.5%","25%","40%","60%","75%","97.5%","pathogen_pp_sw","sst_pp"
"1","arena2",-0.0203067683042319,0.0239234989972273,-0.0163152922866089,-0.0789826984993643,-0.0298188930791039,-0.0210313685755453,-0.0127824191613139,-0.00751023910743659,0.0184946918664099,"0.893633333333333","0.9454"
"2","c_b_cys",0.0208001865552443,0.0137372475616148,0.0201797310627459,-0.00355491224298742,0.011686670895064,0.0169453918149787,0.0234575524648628,0.0287679697281352,0.0498221553973759,"0.0437333333333333","0.993633333333333"
"3","ce_sha",0.00136037297061069,0.0211904157909289,0.00173659449999671,-0.0385685834086434,-0.00717501718341379,-0.00115256256683958,0.00484421358021256,0.0109351120242108,0.0378063266078787,"0.437866666666667","0.998833333333333"
"4","Circo.virus",0.0148474240146496,1.16837148730272,0.02338694799194,-2.57330299008911,-0.498167410237273,-0.105102985097536,0.153062693799787,0.530089465739839,2.56647062985327,"0.474033333333333","0.9902"
"5","de_sal",0.0104078070395415,0.179821222426788,0.00907479855170243,-0.311922158677866,-0.0194420316363554,0.000150414382834792,0.019512179534764,0.0418815468094112,0.332540460302095,"0.3987","0.993533333333333"
"7","fl_psy",-0.00569020517445988,0.0548429053246337,-0.00175916334644096,-0.116497637873551,-0.0221131075327752,-0.00913032934904026,0.00407479684027966,0.0150954961713831,0.0834613007446715,"0.5302","0.9983"
"8","ic_hof",-0.00241399015624332,0.0253764984476464,-0.00593001010138631,-0.0424112171092348,-0.0160850545761836,-0.00976607634512521,-0.00180862523052023,0.00730813759924325,0.0580851531612371,"0.637766666666667","0.9979"
"9","ic_mul",-0.0108608514993062,0.0340917275366717,-0.00967949029420468,-0.0834687197048414,-0.0276058499378627,-0.0158191477851896,-0.0037928123389809,0.00707696075620379,0.0550907086107746,"0.656633333333333","0.998166666666667"
"10","IcD",-0.00464808575916617,0.0145970879853909,-0.00328955619735576,-0.0344386950902647,-0.0122916285466766,-0.0063806009323524,-0.000738853900287649,0.00326893869835329,0.0218339977644433,"0.628833333333333","0.992866666666667"
"11","ku_thy",-0.0210776667150835,0.0878073435634881,-0.0184379190954236,-0.167346154687725,-0.0479571053927167,-0.0285636479228278,-0.0086718330877707,0.00741121443783265,0.113617723480226,"0.687133333333333","0.998566666666667"
"12","lo_sal",0.0568114717013562,0.0198328676752294,0.0567010372160589,0.018951998018436,0.0446833539623517,0.05231082956275,0.0612857428173845,0.0685667130812928,0.0961712876272614,"0.0053","0.999633333333333"
"13","mo_vis",0.021903537776791,0.553807854220542,0.0259578626613523,-1.24761671723363,-0.130222931953244,-0.0187527951034111,0.0717505999481457,0.176682008368244,1.26668841960122,"0.4387","0.9996"
"14","my_arc",0.0103574529544523,0.00921743662934548,0.00900096936086162,-0.00378117935815768,0.00451105304027593,0.00718933296929557,0.0109290491161777,0.0147636695910852,0.0322505107813445,"0.0606","0.9979"
"15","nu_sal",0.131384545231557,0.547312574747508,0.115476331621918,-1.06112399152411,-0.0713747905260327,0.0511135174401631,0.18029854533902,0.320922137627019,1.40032933736697,"0.3246","0.999766666666667"
"16","pa_kab",0.012782549720717,0.0145004863233977,0.0106124312611414,-0.00921695345020959,0.00386931228365517,0.00778979825223717,0.0135685063374117,0.0192966551625171,0.0476669918104663,"0.1165","0.998833333333333"
"17","pa_min",0.00264835920369512,0.00594570358739705,0.00221421459522146,-0.0103426593136356,0.000468760791857894,0.00145482225713572,0.00300682757669395,0.00485746856393866,0.0150958676600492,"0.184866666666667","0.9979"
"18","pa_pse",0.00747840610374641,0.01693612594642,0.00744963809762998,-0.0290657533912958,-0.000318101313413368,0.00455775086109894,0.0106443636709394,0.0165015037228687,0.0391759957114242,"0.258566666666667","0.9972"
"19","pa_ther",0.00905415405588805,0.0129457448191674,0.00733316914456715,-0.0123920546359498,0.00104267255036789,0.00480818660997293,0.0100771593753446,0.0155184513454182,0.039220666317012,"0.209","0.998633333333333"
"20","prv",-0.0224436530527928,0.261333612058903,-0.0134533083432946,-0.52355198282321,-0.0684981612700092,-0.0329794332909431,0.00480591505276646,0.0360183129937714,0.408235559867223,"0.574833333333333","0.997033333333333"
"21","pspv",-0.00714425706232552,0.0162222709578882,-0.00479823149074687,-0.0444194381835848,-0.0147047404012234,-0.00797298458900032,-0.00221490074612186,0.00180267581870818,0.0205103991374609,"0.689033333333333","0.998933333333333"
"24","rib",0.008198891466711,0.0606615010285902,0.0110264005923476,-0.119710002414999,-0.0187923022894267,0.000615560229724546,0.0209071991322346,0.036473744381971,0.128903861626957,"0.394366666666667","0.998066666666667"
"25","richness",0.00252003375122811,0.00270050677176976,0.00241693736489759,-0.00256314709111776,0.000818941140472077,0.00180592685219111,0.003050999845896,0.00414486776171672,0.00809053475689813,"0.155266666666667","0.999"
"26","rlo",0.0192646260880191,0.0285589753161607,0.0180578843732193,-0.036207060620384,0.00356645676867144,0.012607387300924,0.0241108597183151,0.0346692820776343,0.0759961794035418,"0.2037","0.9986"
"27","sch",-0.0025572793350151,0.0121561096870918,-0.00246320862989324,-0.0263617707115994,-0.00838615559019125,-0.00459163321664296,-0.000620063057891129,0.00278666220020843,0.0218660186237565,"0.631233333333333","0.998366666666667"
"28","smallUK",0.013851771275832,0.135327747286331,0.0179074245785777,-0.256125153357695,-0.0238779770042013,0.0030414563585181,0.0324873174794909,0.0604082305272208,0.238878167747759,"0.378233333333333","0.2366"
"29","sp_des",0.00994276501749348,0.0299394944367955,0.0078833140692951,-0.0485976333051548,-0.00603584902235613,0.00273559585919876,0.0140504962146176,0.0255054777484455,0.0740992677758195,"0.345766666666667","0.9979"
"30","te_bry",-0.0372203180111262,0.113547340859048,-0.0302558110996437,-0.224471735157624,-0.0628399194872934,-0.0411309518520322,-0.0208610864167539,-0.00627483446510621,0.117322597912931,"0.802233333333333","0.9977"
"31","te_mar",0.00959303882083424,0.0436448797841428,0.00705526152939539,-0.0753749476812558,-0.0100977722596372,0.000581040243033059,0.0140132274331305,0.0281493836759539,0.102947243924884,"0.389733333333333","0.982"
"32","ven",-0.00276920220072904,0.0129126931930893,-0.00280387023161574,-0.0283759780638014,-0.00967008551254132,-0.00544199561740168,-0.000227006767217155,0.00422649840685942,0.0229463658885827,"0.609333333333333","0.997833333333333"
