"","prop0"
"arena2",0.1695
"c_b_cys",0.465
"ce_sha",0.278
"cr_sal",0.324
"de_sal",0.708
"fa_mar",0.531
"fl_psy",0.909
"ic_hof",0.0915
"ic_mul",0.771
"ihnv",0.4415
"lo_sal",0.58
"my_arc",0.4725
"pa_kab",0.856
"pa_min",0.2315
"pa_pse",0.493
"pa_ther",0.858
"pspv",0.5
"prv",0.8305
"rlo",0.942
"sch",0.631
"smallUK",0.5655
"sp_des",0.3665
"te_bry",0.0905
"te_mar",0.598
"ven",0.8285
