"BY","Stock.ID","stock_name","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits","X","Return","efs","efs_lag1","efs_lag2","efs_lag3","lnRS","ocean_0","ocean_1","ocean_2","early_sst","early_sst_stnd"
1966,6,"Quesnel",1753,"1040.979","",NA,0,0,28,0,7038,0,0,396,0,0,0,7434,7462,NA,"0.946731235",1040.979,105391.8205,158.636,39.856,1.96590245535637,0,1,0,-0.323645532829145,-0.566945154438942
1967,6,"Quesnel",119,"24","",NA,0,0,11,0,1750,0,0,0,0,0,0,1750,1761,NA,"1",24,1040.979,105391.8205,158.636,4.28931723656961,0,1,0,-0.4750702302964,-0.813544559684817
1968,6,"Quesnel",5763,"332.75","",NA,0,0,0,0,428,0,0,0,0,0,0,428,428,NA,"1",332.75,24,1040.979,105391.8205,0.251731738306576,0,1,0,-0.521399149570872,-0.888992515862769
1969,6,"Quesnel",273134,"76565.813","",NA,0,69,6413,0,1626582,0,0,7768,0,0,0,1634419,1640832,NA,"0.995205024",76565.813,332.75,24,1040.979,3.06089199685744,4.20518371167798e-05,0.999957948162883,0,-1.13220331025321,-1.88370437770117
1970,6,"Quesnel",1373,"387.9452","",NA,0,0,0,0,20339,0,0,0,0,0,0,20339,20339,NA,"1",387.9452,76565.813,332.75,24,3.95943141165052,0,1,0,-0.486720928821962,-0.832518051956274
1971,6,"Quesnel",171,"16.324","",NA,0,0,0,0,747,0,0,0,0,0,0,747,747,NA,"1",16.324,387.9452,76565.813,332.75,3.82342876758926,0,1,0,-0.272043663109771,-0.482910049233436
1972,6,"Quesnel",3488,"46.484","",NA,0,0,9,0,856,0,0,0,0,0,0,856,865,NA,"1",46.484,16.324,387.9452,76565.813,2.91316220878111,0,1,0,-0.467030653629713,-0.800451881557708
1973,6,"Quesnel",278061,"112414.8786","",NA,0,527,5114,0,2326864,0,0,3929,0,0,0,2331320,2336434,NA,"0.998088636",112414.8786,46.484,16.324,387.9452,3.03199360916565,0.000225557409282693,0.999774442590717,0,-0.620730831883716,-1.05075697166243
1974,6,"Quesnel",4459,"2587.3926","",NA,0,0,21,0,29304,0,0,1570,129,0,0,31003,31024,NA,"0.945198852",2587.3926,112414.8786,46.484,16.324,2.48343332351271,0,0.995841928829293,0.00415807117070655,-0.735271583513602,-1.23728982727176
1975,6,"Quesnel",201,"105","",NA,0,0,0,0,1865,0,0,0,0,0,0,1865,1865,NA,"1",105,2587.3926,112414.8786,46.484,2.87705598192039,0,1,0,-0.227470526371413,-0.410321434605369
1976,6,"Quesnel",2197,"209","",NA,0,0,0,0,1233,0,0,0,0,0,0,1233,1233,NA,"1",209,105,2587.3926,112414.8786,1.77487125119953,0,1,0,0.428149265204432,0.65737395045551
1977,6,"Quesnel",516223,"160718.4531","Fall fry in lake",49600000,0,0,8446,0,3810786,0,0,54029,5261,0,0,3870076,3878522,NA,"0.984679887",160718.4531,209,105,2587.3926,3.18137532842687,0,0.998643555457466,0.0013564445425345,0.011649917985984,-0.0209070237004715
1978,6,"Quesnel",8614,"4349.328","brood year ",NA,0,0,142,0,186073,0,0,10473,36,0,0,196582,196724,NA,"0.946541392",4349.328,160718.4531,209,105,3.81105829665342,0,0.999817002500966,0.00018299749903418,0.167176863956675,0.232373009329632
1979,6,"Quesnel",511,"237.5552","t+1",NA,0,0,0,0,2103,0,0,3908,0,0,0,6011,6011,NA,"0.349858593",237.5552,4349.328,160718.4531,209,3.23094638551742,0,1,0,-0.0410747109308134,-0.10677057403382
1980,6,"Quesnel",3176,"97.7839","",NA,0,0,0,0,2446,0,0,0,0,0,0,2446,2446,NA,"1",97.7839,237.5552,4349.328,160718.4531,3.21944937443487,0,1,0,-0.548073692679124,-0.932432764222009
1981,6,"Quesnel",748652,"332288.6324","",67584371.34,0,0,19608,0,9553856,0,0,213188,0,0,0,9767044,9786652,NA,"0.97817272",332288.6324,97.7839,237.5552,4349.328,3.38076517447504,0,1,0,0.986431776779315,1.56655282032455
1982,6,"Quesnel",39841,"20053.4434","",NA,0,0,0,0,499074,0,0,56312,0,0,156,555542,555542,NA,"0.89835512",20053.4434,332288.6324,97.7839,237.5552,3.32154333412711,0,0.999719193148313,0.000280806851687181,-0.435928349427538,-0.749800898948408
1983,6,"Quesnel",2155,"1098.3516","",NA,0,0,33,0,31515,0,0,8864,0,0,0,40379,40412,NA,"0.780479952",1098.3516,20053.4434,332288.6324,97.7839,3.60449933743548,0,1,0,-0.158169568282935,-0.297462863094711
