"","prev_prop_neg"
"arena2",0.494
"c_b_cys",0.7385
"ce_sha",0.258
"cr_sal",0.238
"de_sal",0.5155
"fa_mar",0.158
"fl_psy",0.7075
"ic_hof",0.4485
"ic_mul",0.7995
"ihnv",0.262
"ku_thy",0.2845
"lo_sal",0.25
"my_arc",0.6325
"pa_kab",0.106
"pa_min",0.0295
"pa_pse",0.583
"pa_ther",0.143
"pspv",0.526
"prv",0.1675
"rlo",0.537
"sch",0.2915
"smallUK",0.3195
"sp_des",0.0335
"te_bry",0.651
"te_mar",0.8125
"ven",0.1905
