"","prop0"
"lo_sal",0.7675
"pa_kab",0.5805
"ven",0.116
"de_sal",0.171
"ce_sha",0.084
"ku_thy",0.0505
"ihnv",0.652
"sp_des",0
"pspv",0.5245
"fl_psy",0.181
"te_bry",0.076
"ic_hof",0.9535
"ic_mul",0.575
"fa_mar",0.522
"richness",0.8
"my_arc",0.99
"c_b_cys",0.634
"rib",0.9025
"prv",0.9345
"rlo",0.0685
"pa_pse",0.933
"pa_ther",0.067
"pa_min",0.004
"sch",0.0905
"nu_sal",0.826
"arena2",0.4135
"Circo.virus",0.7725
"te_mar",0.0025
"IcD",0.453
"Rhabdo3_virus",0.89
"Qin",0.633
