"","lower","25","mid","75","upper"
"arena2",-0.282095951710885,-0.0510853322841832,0.0615500185825882,0.171895298897726,0.404887392498645
"c_b_cys",-0.432072664901208,-0.254491286348925,-0.16531641606055,-0.0695039557302654,0.152893780743672
"ce_sha",-0.356891619119579,-0.15936888351627,-0.0577463992607797,0.0578642625237223,0.304539912175886
"de_sal",-0.310647126958236,-0.123245509305265,-0.029263497057236,0.0672418830196461,0.275249106888738
"fa_mar",-0.367820318515477,-0.0891869974868852,0.0267954406453282,0.140658759446038,0.45967275620723
"fl_psy",-0.339165330700242,-0.16193689696848,-0.0693389276536542,0.0189209701073449,0.226601211135473
"ic_hof",-0.532171530622613,-0.215115656644647,-0.0997372329175298,0.00498663941475919,0.194083895852885
"ic_mul",-0.511684519034667,-0.306600132672472,-0.207030250503169,-0.10719821965615,0.112894225533643
"ku_thy",-0.335788786685113,-0.0562921540848103,0.0529256175111707,0.16937753160893,0.507070277024684
"lo_sal",-0.383875152202393,-0.202016535684341,-0.109700580039834,-0.0188869000488561,0.163362081356353
"my_arc",-0.421805157971533,-0.249859242525903,-0.172745833410423,-0.093611565535965,0.0656492291214796
"pa_kab",-0.399805372027115,-0.196488925698597,-0.0893620402126258,0.0194901617882794,0.23392473511451
"pa_min",-0.35241962560791,-0.138529941251418,-0.0344052509933329,0.0734183923955653,0.279162312562413
"pa_pse",-0.301621622248871,-0.0988903943894128,-0.00111038578114214,0.0874639299568137,0.264117333117745
"pa_ther",-0.548068268741051,-0.371446107429857,-0.284704976902856,-0.196428030329581,-0.0199156900120673
"pspv",-0.0302987287578298,0.166663550472882,0.263531468554722,0.362670871626893,0.560490719439004
"rlo",-0.267094472191648,-0.0594222702117368,0.0357400284969853,0.125910090721792,0.324006782340559
"sch",-0.308506741569639,-0.114502434365322,-0.0292773677278437,0.0542107795506036,0.21747762866821
"sp_des",-0.179100282778837,0.0625583463078127,0.177867899399093,0.304907536759415,0.672344166621649
"te_bry",-0.39941876319207,-0.102724818418641,0.0148875570846307,0.143796044695772,0.521741132888728
"te_mar",-0.504890237232414,-0.300185093931429,-0.20226543270677,-0.102172295534069,0.0931327386920299
"ven",-0.343596018631124,-0.173046937222888,-0.0853059722539053,0.00219163682582246,0.180365119816602
