"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","N+","prev","mean_load","prevload","agent"
"51","Nadina",2014,593,2012,"SR_resid",-1.05440346853844,24,2,0.0833333333333333,100267.03403118,NA,"arena2"
"52","Nadina",2015,594,2013,"SR_resid",-2.0479492309041,0,0,NA,NA,NA,"arena2"
"53","Pitt",2010,654,2008,"SR_resid",0.629286548510264,5,0,0,NA,NA,"arena2"
"54","Pitt",2011,655,2009,"SR_resid",-0.249717762759789,1,0,0,NA,NA,"arena2"
"55","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,0,0,NA,NA,NA,"arena2"
"56","Pitt",2013,657,2011,"SR_resid",0.508782527675962,0,0,NA,NA,NA,"arena2"
"57","Pitt",2014,658,2012,"SR_resid",0.146481537253401,11,1,0.0909090909090909,83.49470928,NA,"arena2"
"58","Pitt",2015,659,2013,"SR_resid",-0.887642039376192,3,2,0.666666666666667,1.3756859095,NA,"arena2"
"59","Portage",2009,714,2007,"SR_resid",-1.12356752307804,1,0,0,NA,NA,"arena2"
"60","Portage",2015,720,2013,"SR_resid",-2.17403600765319,1,0,0,NA,NA,"arena2"
"61","Quesnel",2009,779,2007,"SR_resid",-0.837340686796709,1,0,0,NA,NA,"arena2"
"62","Quesnel",2010,780,2008,"SR_resid",-1.46510055265989,5,2,0.4,1.1228006235,NA,"arena2"
"63","Quesnel",2011,781,2009,"SR_resid",-1.28592345329045,15,0,0,NA,NA,"arena2"
"64","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,0,0,NA,NA,NA,"arena2"
"65","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,0,0,NA,NA,NA,"arena2"
"66","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,41,3,0.0731707317073171,129.401193389667,NA,"arena2"
"67","Quesnel",2016,786,2014,"SR_resid",-0.611307154952856,32,23,0.71875,189973.63780429,NA,"arena2"
"68","Raft",2010,845,2008,"SR_resid",-0.506234743025431,1,0,0,NA,NA,"arena2"
"69","Raft",2012,847,2010,"SR_resid",0.854522107492757,0,0,NA,NA,NA,"arena2"
"70","Raft",2014,849,2012,"SR_resid",0.327180676648054,1,0,0,NA,NA,"arena2"
"71","Scotch",2009,893,2007,"SR_resid",0.163596172132937,1,0,0,NA,NA,"arena2"
"72","Scotch",2010,894,2008,"SR_resid",1.25070295794196,2,1,0.5,3.869282429,NA,"arena2"
"73","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,0,0,NA,NA,NA,"arena2"
"74","Scotch",2013,897,2011,"SR_resid",-2.09683103258795,1,0,0,NA,NA,"arena2"
"75","Scotch",2014,898,2012,"SR_resid",-0.836006917179086,2,0,0,NA,NA,"arena2"
"76","Scotch",2015,899,2013,"SR_resid",-2.13290651177583,8,2,0.25,6598.7718769035,NA,"arena2"
"77","Scotch",2016,900,2014,"SR_resid",-0.513879926350833,12,9,0.75,251578.847334273,NA,"arena2"
"78","Seymour",2009,958,2007,"SR_resid",-0.993664555476909,5,0,0,NA,NA,"arena2"
"79","Seymour",2010,959,2008,"SR_resid",-0.0984924261895054,1,1,1,31.79107397,NA,"arena2"
"80","Seymour",2011,960,2009,"SR_resid",0.469168333433819,4,1,0.25,5.694136349,NA,"arena2"
"81","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,0,0,NA,NA,NA,"arena2"
"82","Seymour",2013,962,2011,"SR_resid",-1.60755231711188,0,0,NA,NA,NA,"arena2"
"83","Seymour",2015,964,2013,"SR_resid",-2.77343945717353,6,0,0,NA,NA,"arena2"
"84","Seymour",2016,965,2014,"SR_resid",-0.0275262787415462,3,3,1,247.900437010667,NA,"arena2"
"85","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,4,0,0,NA,NA,"arena2"
"86","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,0,0,NA,NA,NA,"arena2"
"87","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,1,0,0,NA,NA,"arena2"
"88","Stellako",2014,1028,2012,"SR_resid",-2.48491499670085,11,4,0.363636363636364,26.00421899925,NA,"arena2"
"89","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,0,0,NA,NA,NA,"arena2"
"90","Weaver",2010,1073,2008,"SR_resid",1.41003200026509,1,0,0,NA,NA,"arena2"
"91","Weaver",2011,1074,2009,"SR_resid",0.212005447154897,2,0,0,NA,NA,"arena2"
"92","Weaver",2012,1075,2010,"SR_resid",-0.63038571679581,0,0,NA,NA,NA,"arena2"
"93","Weaver",2015,1078,2013,"SR_resid",-0.520865185760699,4,1,0.25,71572.59513,NA,"arena2"
"94","Birkenhead",2009,58,2007,"SR_resid",-0.298008117783879,4,2,0.5,36.252915328,NA,"c_b_cys"
"95","Birkenhead",2010,59,2008,"SR_resid",-0.100769117868461,2,1,0.5,815.9333537,NA,"c_b_cys"
"96","Birkenhead",2011,60,2009,"SR_resid",-0.650991216116703,5,4,0.8,65664.0158124775,NA,"c_b_cys"
"97","Birkenhead",2012,61,2010,"SR_resid",-2.19758782887751,1,1,1,20.48786083,0,"c_b_cys"
"98","Birkenhead",2013,62,2011,"SR_resid",-1.26683925767625,23,20,0.869565217391304,2527.87701027725,0,"c_b_cys"
"99","Birkenhead",2014,63,2012,"SR_resid",-0.276079279263662,4,2,0.5,1407.9715659,NA,"c_b_cys"
"100","Birkenhead",2015,64,2013,"SR_resid",-1.81034600909588,17,14,0.823529411764706,5806.60038630929,0,"c_b_cys"
"101","Bowron",2013,127,2011,"SR_resid",-1.27851295637267,7,5,0.714285714285714,756.3060953846,0,"c_b_cys"
"102","Bowron",2014,128,2012,"SR_resid",-0.448958264229366,1,1,1,53.52815828,NA,"c_b_cys"
"103","Chilko",2010,189,2008,"SR_resid",-0.434265073932136,15,15,1,6007.47727152467,NA,"c_b_cys"
"104","Chilko",2011,190,2009,"SR_resid",0.38529783723828,62,61,0.983870967741935,55717.5392549095,NA,"c_b_cys"
"105","Chilko",2012,191,2010,"SR_resid",1.51870929766449,22,22,1,35817.7874597427,0,"c_b_cys"
"106","Chilko",2013,192,2011,"SR_resid",0.19771074921524,510,500,0.980392156862745,23249.0186771878,0,"c_b_cys"
"107","Chilko",2014,193,2012,"SR_resid",0.0142645387748008,51,47,0.92156862745098,10970.7972540165,NA,"c_b_cys"
"108","Chilko",2015,194,2013,"SR_resid",-1.63866409469691,72,69,0.958333333333333,34345.5126884995,0,"c_b_cys"
"109","Chilko",2016,195,2014,"SR_resid",0.118387368990521,20,20,1,20202.173617439,NA,"c_b_cys"
"110","E.Stuart",2009,253,2007,"SR_resid",-0.36854159987182,1,1,1,4.099590076,NA,"c_b_cys"
"111","E.Stuart",2010,254,2008,"SR_resid",0.797398517862314,3,3,1,19411.059679,NA,"c_b_cys"
"112","E.Stuart",2011,255,2009,"SR_resid",0.306542225988378,22,18,0.818181818181818,4527.88127104167,NA,"c_b_cys"
"113","E.Stuart",2012,256,2010,"SR_resid",-0.875004702568626,1,1,1,17.76381762,0,"c_b_cys"
"114","E.Stuart",2013,257,2011,"SR_resid",0.48067594986311,1,1,1,463.2309856,0,"c_b_cys"
"115","E.Stuart",2014,258,2012,"SR_resid",-1.10594629027971,8,8,1,3771.99879799875,NA,"c_b_cys"
"116","E.Stuart",2015,259,2013,"SR_resid",-2.77552980656922,18,16,0.888888888888889,1062.75631961363,0,"c_b_cys"
"117","E.Stuart",2016,260,2014,"SR_resid",-0.391618684657425,1,1,1,337.757257,NA,"c_b_cys"
"118","Gates",2009,351,2007,"SR_resid",2.46731940055161,1,0,0,NA,NA,"c_b_cys"
"119","Gates",2010,352,2008,"SR_resid",0.906764601998679,1,1,1,7.540098108,NA,"c_b_cys"
"120","Gates",2011,353,2009,"SR_resid",0.450906844399479,4,4,1,396.22098703,NA,"c_b_cys"
"121","Gates",2013,355,2011,"SR_resid",-0.231147951215527,15,13,0.866666666666667,669.306663934769,0,"c_b_cys"
"122","Gates",2014,356,2012,"SR_resid",-0.109153978191419,8,5,0.625,451.0298353368,NA,"c_b_cys"
"123","Gates",2015,357,2013,"SR_resid",0.382737877444286,5,3,0.6,3964.33170674,0,"c_b_cys"
"124","Harrison",2009,416,2007,"SR_resid",1.30259479491901,1,0,0,NA,NA,"c_b_cys"
"125","Harrison",2010,417,2008,"SR_resid",1.18199741656538,44,10,0.227272727272727,26.0525229466,NA,"c_b_cys"
"126","Harrison",2011,418,2009,"SR_resid",-0.495958986830574,8,7,0.875,37540.86745059,NA,"c_b_cys"
"127","Harrison",2013,420,2011,"SR_resid",0.69096343611056,4,4,1,665.68829558175,0,"c_b_cys"
"128","Harrison",2014,421,2012,"SR_resid",-0.51486879193369,1,1,1,8338.308398,NA,"c_b_cys"
"129","Harrison",2015,422,2013,"SR_resid",-1.08883708095772,5,0,0,NA,NA,"c_b_cys"
"130","L.Shuswap",2009,481,2007,"SR_resid",0.393202735523489,5,5,1,5065.56721556,NA,"c_b_cys"
"131","L.Shuswap",2010,482,2008,"SR_resid",2.30839208071176,4,3,0.75,10.706399749,NA,"c_b_cys"
"132","L.Shuswap",2011,483,2009,"SR_resid",0.158944996920779,17,17,1,64466.0563864618,NA,"c_b_cys"
"133","L.Shuswap",2012,484,2010,"SR_resid",0.33121463228102,176,174,0.988636363636364,39874.8543750324,0,"c_b_cys"
"134","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,29,29,1,52993.5214479052,0,"c_b_cys"
