"","Year","agent","posdet"
"196",2013,"Circo.virus",0
"197",2013,"IcD",15
"198",2013,"Picorna2_virus",0
"199",2013,"Qin",0
"200",2013,"Rhabdo3_virus",0
"201",2013,"arena1",0
"202",2013,"arena2",11
"203",2013,"ascv",2
"204",2013,"c_b_cys",22
"205",2013,"ce_sha",11
"206",2013,"cr_sal",1
"207",2013,"de_sal",4
"208",2013,"fa_mar",4
"209",2013,"fl_psy",7
"210",2013,"ic_hof",15
"211",2013,"ic_mul",13
"212",2013,"ihnv",0
"213",2013,"ku_thy",4
"214",2013,"lo_sal",11
"215",2013,"mo_vis",3
"216",2013,"my_arc",21
"217",2013,"nu_sal",1
"218",2013,"pa_kab",20
"219",2013,"pa_min",21
"220",2013,"pa_pse",18
"221",2013,"pa_ther",22
"222",2013,"pch_sal",0
"223",2013,"prv",4
"224",2013,"pspv",19
"225",2013,"re_sal",0
"226",2013,"rib",22
"227",2013,"richness",22
"228",2013,"rlo",6
"229",2013,"sch",19
"230",2013,"smallUK",0
"231",2013,"sp_des",6
"232",2013,"te_bry",7
"233",2013,"te_mar",1
"234",2013,"ven",18
"235",2014,"Circo.virus",0
"236",2014,"IcD",13
"237",2014,"Picorna2_virus",0
"238",2014,"Qin",0
"239",2014,"Rhabdo3_virus",1
"240",2014,"arena1",1
"241",2014,"arena2",11
"242",2014,"ascv",0
"243",2014,"c_b_cys",20
"244",2014,"ce_sha",5
"245",2014,"cr_sal",0
"246",2014,"de_sal",0
"247",2014,"fa_mar",4
"248",2014,"fl_psy",0
"249",2014,"ic_hof",11
"250",2014,"ic_mul",4
"251",2014,"ihnv",1
"252",2014,"ku_thy",3
"253",2014,"lo_sal",16
"254",2014,"mo_vis",0
"255",2014,"my_arc",18
"256",2014,"nu_sal",0
"257",2014,"pa_kab",14
"258",2014,"pa_min",18
"259",2014,"pa_pse",11
"260",2014,"pa_ther",19
"261",2014,"pch_sal",0
"262",2014,"prv",0
"263",2014,"pspv",16
"264",2014,"re_sal",0
"265",2014,"rib",22
"266",2014,"richness",22
"267",2014,"rlo",2
"268",2014,"sch",9
"269",2014,"smallUK",3
"270",2014,"sp_des",2
"271",2014,"te_bry",5
"272",2014,"te_mar",2
"273",2014,"ven",16
"274",2015,"Circo.virus",2
"275",2015,"IcD",18
"276",2015,"Picorna2_virus",1
"277",2015,"Qin",3
"278",2015,"Rhabdo3_virus",0
"279",2015,"arena1",1
"280",2015,"arena2",16
"281",2015,"ascv",0
"282",2015,"c_b_cys",18
"283",2015,"ce_sha",15
"284",2015,"cr_sal",0
"285",2015,"de_sal",0
"286",2015,"fa_mar",8
"287",2015,"fl_psy",3
"288",2015,"ic_hof",6
"289",2015,"ic_mul",12
"290",2015,"ihnv",0
"291",2015,"ku_thy",5
"292",2015,"lo_sal",10
"293",2015,"mo_vis",0
"294",2015,"my_arc",17
"295",2015,"nu_sal",1
"296",2015,"pa_kab",16
"297",2015,"pa_min",19
"298",2015,"pa_pse",7
"299",2015,"pa_ther",19
"300",2015,"pch_sal",0
"301",2015,"prv",0
"302",2015,"pspv",13
"303",2015,"re_sal",0
"304",2015,"rib",19
"305",2015,"richness",19
"306",2015,"rlo",5
"307",2015,"sch",13
"308",2015,"smallUK",0
"309",2015,"sp_des",6
"310",2015,"te_bry",10
"311",2015,"te_mar",13
"312",2015,"ven",9
"313",2016,"Circo.virus",0
"314",2016,"IcD",7
"315",2016,"Picorna2_virus",0
"316",2016,"Qin",0
"317",2016,"Rhabdo3_virus",0
"318",2016,"arena1",0
"319",2016,"arena2",8
"320",2016,"ascv",0
"321",2016,"c_b_cys",9
"322",2016,"ce_sha",3
"323",2016,"cr_sal",0
"324",2016,"de_sal",4
"325",2016,"fa_mar",3
"326",2016,"fl_psy",3
"327",2016,"ic_hof",6
"328",2016,"ic_mul",2
"329",2016,"ihnv",1
"330",2016,"ku_thy",2
"331",2016,"lo_sal",0
"332",2016,"mo_vis",0
"333",2016,"my_arc",9
"334",2016,"nu_sal",0
"335",2016,"pa_kab",0
"336",2016,"pa_min",9
"337",2016,"pa_pse",6
"338",2016,"pa_ther",9
"339",2016,"pch_sal",0
"340",2016,"prv",0
"341",2016,"pspv",7
"342",2016,"re_sal",0
"343",2016,"rib",9
"344",2016,"richness",9
"345",2016,"rlo",2
"346",2016,"sch",6
"347",2016,"smallUK",1
"348",2016,"sp_des",0
"349",2016,"te_bry",2
"350",2016,"te_mar",2
"351",2016,"ven",0
"352",2017,"Circo.virus",2
"353",2017,"IcD",4
"354",2017,"Picorna2_virus",0
"355",2017,"Qin",2
"356",2017,"Rhabdo3_virus",0
"357",2017,"arena1",0
"358",2017,"arena2",4
"359",2017,"ascv",0
"360",2017,"c_b_cys",4
"361",2017,"ce_sha",0
"362",2017,"cr_sal",0
"363",2017,"de_sal",0
"364",2017,"fa_mar",0
"365",2017,"fl_psy",1
"366",2017,"ic_hof",1
"367",2017,"ic_mul",0
"368",2017,"ihnv",0
"369",2017,"ku_thy",0
"370",2017,"lo_sal",2
"371",2017,"mo_vis",0
"372",2017,"my_arc",4
"373",2017,"nu_sal",0
"374",2017,"pa_kab",3
"375",2017,"pa_min",3
"376",2017,"pa_pse",3
"377",2017,"pa_ther",3
"378",2017,"pch_sal",0
"379",2017,"prv",1
"380",2017,"pspv",2
"381",2017,"re_sal",0
"382",2017,"rib",4
"383",2017,"richness",4
"384",2017,"rlo",0
"385",2017,"sch",1
"386",2017,"smallUK",0
"387",2017,"sp_des",1
"388",2017,"te_bry",2
"389",2017,"te_mar",0
"390",2017,"ven",0
"391",2018,"Circo.virus",0
"392",2018,"IcD",6
"393",2018,"Picorna2_virus",0
"394",2018,"Qin",0
"395",2018,"Rhabdo3_virus",0
"396",2018,"arena1",0
"397",2018,"arena2",3
"398",2018,"ascv",0
"399",2018,"c_b_cys",12
"400",2018,"ce_sha",3
"401",2018,"cr_sal",0
"402",2018,"de_sal",0
"403",2018,"fa_mar",0
"404",2018,"fl_psy",1
"405",2018,"ic_hof",3
"406",2018,"ic_mul",0
"407",2018,"ihnv",0
"408",2018,"ku_thy",0
"409",2018,"lo_sal",3
"410",2018,"mo_vis",0
"411",2018,"my_arc",10
"412",2018,"nu_sal",0
"413",2018,"pa_kab",6
"414",2018,"pa_min",10
"415",2018,"pa_pse",5
"416",2018,"pa_ther",12
"417",2018,"pch_sal",0
"418",2018,"prv",0
"419",2018,"pspv",7
"420",2018,"re_sal",1
"421",2018,"rib",14
"422",2018,"richness",14
"423",2018,"rlo",4
"424",2018,"sch",2
"425",2018,"smallUK",0
"426",2018,"sp_des",0
"427",2018,"te_bry",0
"428",2018,"te_mar",0
"429",2018,"ven",1
