"","prop0"
"arena2",0.4735
"c_b_cys",0.477
"ce_sha",0.3
"Circo.virus",0.5895
"de_sal",0.7325
"fl_psy",0.9105
"ic_hof",0.095
"ic_mul",0.7785
"IcD",0.322
"ihnv",0.431
"lo_sal",0.5725
"my_arc",0.468
"pa_kab",0.8815
"pa_min",0.2415
"pa_pse",0.4985
"pa_ther",0.859
"pch_sal",0.6275
"pspv",0.8205
"prv",0.5105
"Qin",0.5195
"rlo",0.9405
"sch",0.64
"smallUK",0.5905
"sp_des",0.3515
"te_bry",0.082
"te_mar",0.583
"ven",0.822
"richness",0.735
"rib",0.6205
