"","lower","25","mid","75","upper"
"ic_hof",-0.311750803926847,-0.147640890702522,-0.0797168144247936,-0.00961507940447489,0.154945450968249
"lo_sal",-0.46736301937077,-0.264084369259886,-0.17481474992793,-0.0825482924978871,0.108608245201803
"ce_sha",-0.180011228903548,0.0302244183475109,0.121928709340661,0.210824503081888,0.460943529741788
"ven",-0.738055730716282,-0.355941495227626,-0.200871892262286,-0.0593606642944227,0.245950071269796
"pa_pse",-0.233721374894347,0.119159467060615,0.313487691041591,0.523470498211493,0.998338508120297
"sch",-0.210337281381482,-0.0980960330749898,-0.0496247334761267,-0.00172201856341502,0.117316546865502
"pa_kab",-0.298638527878116,-0.0976231996356524,-0.00733914692456557,0.0977450413326899,0.368064861721531
"pspv",-0.426088533077913,-0.156639910578898,-0.0379426901742878,0.084328601729761,0.385036691050173
"c_b_cys",-0.00707824946600722,0.250722116832778,0.392827113823005,0.53855646850618,0.885988034424509
"my_arc",-0.366420273310815,-0.0619334292944003,0.0350793822618027,0.123904411186754,0.332353869785824
"pa_min",-0.461056367883222,-0.236280671579496,-0.143137149437034,-0.0563749239086073,0.159409433895646
"pa_ther",-0.205158610162139,-0.0576624737403659,-0.0069287513088556,0.0394624385445068,0.14732133296203
