"","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent"
"889","L.Shuswap",2013,485,2011,"SR_resid",-2.45594693983033,25,0,0,NA,NA,"te_bry"
"890","L.Shuswap",2015,487,2013,"SR_resid",-3.21084502361583,13,1,0.0769230769230769,93.15793725,7.16599517307692,"te_bry"
"891","L.Stuart",2011,548,2009,"SR_resid",-0.465229188418885,6,0,0,NA,NA,"te_bry"
"892","L.Stuart",2012,549,2010,"SR_resid",-0.366224861966881,1,0,0,NA,NA,"te_bry"
"893","L.Stuart",2015,552,2013,"SR_resid",-0.78400170462408,27,1,0.037037037037037,2.067816287,0.0765857884074074,"te_bry"
"894","Pitt",2012,656,2010,"SR_resid",-0.155742343267508,1,0,0,NA,NA,"te_bry"
"895","Pitt",2013,657,2011,"SR_resid",0.508782527675962,30,0,0,NA,NA,"te_bry"
"896","Portage",2012,717,2010,"SR_resid",0.860076407844352,5,0,0,NA,NA,"te_bry"
"897","Portage",2013,718,2011,"SR_resid",-3.46516416664105,30,0,0,NA,NA,"te_bry"
"898","Quesnel",2012,782,2010,"SR_resid",0.376595316873736,25,1,0.04,175.8770697,7.035082788,"te_bry"
"899","Quesnel",2013,783,2011,"SR_resid",-1.88895500726573,95,1,0.0105263157894737,930.0576102,9.79008010736842,"te_bry"
"900","Quesnel",2015,785,2013,"SR_resid",-2.131477207518,44,3,0.0681818181818182,94.7286691533333,6.45877289681818,"te_bry"
"901","Raft",2012,847,2010,"SR_resid",0.854522107492757,1,0,0,NA,NA,"te_bry"
"902","Raft",2013,848,2011,"SR_resid",-0.415526678167453,16,0,0,NA,NA,"te_bry"
"903","Raft",2015,850,2013,"SR_resid",-2.41772796249681,29,0,0,NA,NA,"te_bry"
"904","Scotch",2012,896,2010,"SR_resid",-0.0184171440669831,22,0,0,NA,NA,"te_bry"
"905","Seymour",2011,960,2009,"SR_resid",0.469168333433819,1,0,0,NA,NA,"te_bry"
"906","Seymour",2012,961,2010,"SR_resid",-0.000274470585153209,19,0,0,NA,NA,"te_bry"
"907","Stellako",2011,1025,2009,"SR_resid",0.265047567544258,2,0,0,NA,NA,"te_bry"
"908","Stellako",2012,1026,2010,"SR_resid",1.17750373283807,6,1,0.166666666666667,3.252834263,0.542139043833333,"te_bry"
"909","Stellako",2013,1027,2011,"SR_resid",-1.57290521616195,47,1,0.0212765957446809,512.5657833,10.9056549638298,"te_bry"
"910","Stellako",2015,1029,2013,"SR_resid",-1.34522319065314,17,2,0.117647058823529,235.9223966,27.7555760705882,"te_bry"
"911","Weaver",2012,1075,2010,"SR_resid",-0.63038571679581,1,0,0,NA,NA,"te_bry"
"912","Weaver",2015,1078,2013,"SR_resid",-0.520865185760699,22,0,0,NA,NA,"te_bry"
