"","prop0"
"arena2",0.34
"c_b_cys",0.4865
"ce_sha",0.25
"cr_sal",0.3845
"de_sal",0.4785
"fa_mar",0.4435
"fl_psy",0.8525
"ic_hof",0.599
"ic_mul",0.547
"ihnv",0.336
"lo_sal",0.4705
"my_arc",0.692
"pa_kab",0.9115
"pa_min",0.607
"pa_pse",0.4225
"pa_ther",0.7205
"pspv",0.4555
"prv",0.8405
"rlo",0.911
"sch",0.6905
"smallUK",0.426
"sp_des",0.344
"te_bry",0.3135
"te_mar",0.498
"ven",0.765
