"","prop0"
"arena2",0.163
"c_b_cys",0.475
"ce_sha",0.277
"cr_sal",0.347
"de_sal",0.723
"fa_mar",0.529
"fl_psy",0.8975
"ic_hof",0.1035
"ic_mul",0.741
"ihnv",0.4365
"lo_sal",0.573
"my_arc",0.4635
"pa_kab",0.8465
"pa_min",0.226
"pa_pse",0.47
"pa_ther",0.853
"pspv",0.5055
"prv",0.829
"rlo",0.9535
"sch",0.619
"smallUK",0.5685
"sp_des",0.3645
"te_bry",0.0935
"te_mar",0.596
"ven",0.863
