"","prev_prop_neg"
"arena2",0.4945
"c_b_cys",0.9315
"ce_sha",0.439
"cr_sal",0.2875
"de_sal",0.515
"fa_mar",0.2695
"fl_psy",0.517
"ic_hof",0.4655
"ic_mul",0.6635
"ihnv",0.2745
"ku_thy",0.32
"lo_sal",0.228
"my_arc",0.372
"pa_kab",0.055
"pa_min",0.3885
"pa_pse",0.662
"pa_ther",0.562
"pspv",0.3935
"prv",0.023
"rlo",0.367
"sch",0.0975
"smallUK",0.1415
"sp_des",0.2355
"te_bry",0.4195
"te_mar",0.903
"ven",0.377
