"","2.5","25","50","75","97.5"
"mean_load",-0.00366672620580978,-0.000691312493293632,0.000157399748910041,0.00108669951337577,0.00367004385452987
"b.mean_load.Stock_Analysis.Chilko.",-2.15247091118951,-1.17477631274051,-0.747822249038478,-0.251245853653845,0.878451499611024
"b.mean_load.Stock_Analysis.E.Stuart.",-2.2017160774207,-1.13578037662631,-0.706656132146097,-0.206456882814762,0.840434437782257
"b.mean_load.Stock_Analysis.Gates.",-2.16953127471132,-1.16351007668881,-0.705075900093573,-0.230465215392374,0.898989681216357
"b.mean_load.Stock_Analysis.L.Shuswap.",-2.05901054448641,-1.09584511461695,-0.652348174542281,-0.135600529676522,1.01273010330597
"b.mean_load.Stock_Analysis.L.Stuart.",-2.31741941398226,-1.2117897627919,-0.744297330731673,-0.251313835704859,0.786743046595726
"b.mean_load.Stock_Analysis.Portage.",-2.40961015612475,-1.27823981212896,-0.803063294059387,-0.308481654184112,0.718673093361933
"b.mean_load.Stock_Analysis.Quesnel.",-2.05015262779305,-1.12565580445582,-0.70867050227891,-0.239559832637633,0.783482192208555
"b.mean_load.Stock_Analysis.Raft.",-2.12343627299892,-1.18159351326469,-0.727927042635941,-0.235929318451559,0.865641037483949
"b.mean_load.Stock_Analysis.Scotch.",-2.30129037548023,-1.21409181678575,-0.77083002224058,-0.274212188139468,0.776505739496025
"b.mean_load.Stock_Analysis.Seymour.",-2.26253586070134,-1.19569957280589,-0.770887552122553,-0.279405971954051,0.763990183445058
"b.mean_load.Stock_Analysis.Stellako.",-1.97590168865251,-1.07800780448701,-0.656675147599988,-0.156864351750604,0.876082407713623
"b.mean_load.Stock_Analysis.Weaver.",-2.25225434114782,-1.18935886280398,-0.706025967767322,-0.225993061572235,0.849550127765995
"NA",-2.15706072601044,-1.16764862483828,-0.714990542299432,-0.227662871322171,0.840367177983775
"NA",-2.18916730403612,-1.17004394322078,-0.73650832584454,-0.26750441184704,0.782567039403331
"NA",-2.284335169244,-1.17253061635869,-0.709695261826055,-0.202285057024488,0.911105126386233
