"","V1","V2","V3"
"b[prev_std Stock:Pitt]","1.00075055907911","c_b_cys","Rhat"
"b[(Intercept) Stock:Portage]","0.999262617407701","c_b_cys","Rhat"
"b[prev_std Stock:Portage]","0.999796635640966","c_b_cys","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999526863256376","c_b_cys","Rhat"
"b[prev_std Stock:Quesnel]","1.00015141379116","c_b_cys","Rhat"
"b[(Intercept) Stock:Raft]","0.999352961071504","c_b_cys","Rhat"
"b[prev_std Stock:Raft]","0.999981058464762","c_b_cys","Rhat"
"b[(Intercept) Stock:Scotch]","0.99935468369278","c_b_cys","Rhat"
"b[prev_std Stock:Scotch]","0.999915373083361","c_b_cys","Rhat"
"b[(Intercept) Stock:Seymour]","0.999328965126619","c_b_cys","Rhat"
"b[prev_std Stock:Seymour]","1.00019560989189","c_b_cys","Rhat"
"b[(Intercept) Stock:Stellako]","1.00012731564106","c_b_cys","Rhat"
"b[prev_std Stock:Stellako]","1.00032838830075","c_b_cys","Rhat"
"b[(Intercept) Stock:Weaver]","1.00157857461439","c_b_cys","Rhat"
"b[prev_std Stock:Weaver]","1.00042160552091","c_b_cys","Rhat"
"b[(Intercept) Year:2009]","1.00061329089757","c_b_cys","Rhat"
"b[(Intercept) Year:2010]","0.999731648324646","c_b_cys","Rhat"
"b[(Intercept) Year:2011]","0.999581333230751","c_b_cys","Rhat"
"b[(Intercept) Year:2012]","0.999841132778969","c_b_cys","Rhat"
"b[(Intercept) Year:2013]","0.999915670408396","c_b_cys","Rhat"
"b[(Intercept) Year:2014]","1.00091375286599","c_b_cys","Rhat"
"b[(Intercept) Year:2015]","1.00137413765512","c_b_cys","Rhat"
"b[(Intercept) Year:2016]","1.00219237781021","c_b_cys","Rhat"
"sigma","1.00082522085462","c_b_cys","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00377825809411","c_b_cys","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00024510443368","c_b_cys","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00124063022827","c_b_cys","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00078096357984","c_b_cys","Rhat"
"(Intercept)","1.00134085587161","ce_sha","Rhat"
"sst_anom","1.00015231131389","ce_sha","Rhat"
"prev_std","1.00221947591676","ce_sha","Rhat"
"b[(Intercept) Stock:Birkenhead]","0.999472632955741","ce_sha","Rhat"
"b[prev_std Stock:Birkenhead]","0.999522264805009","ce_sha","Rhat"
"b[(Intercept) Stock:Bowron]","1.00023878464216","ce_sha","Rhat"
"b[prev_std Stock:Bowron]","1.00007068035203","ce_sha","Rhat"
"b[(Intercept) Stock:Chilko]","0.999613944412315","ce_sha","Rhat"
"b[prev_std Stock:Chilko]","0.999308153764357","ce_sha","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00002084854857","ce_sha","Rhat"
"b[prev_std Stock:E.Stuart]","0.99927052212157","ce_sha","Rhat"
"b[(Intercept) Stock:Fennell]","0.999557155537738","ce_sha","Rhat"
"b[prev_std Stock:Fennell]","1.0002361634056","ce_sha","Rhat"
"b[(Intercept) Stock:Gates]","0.999470912126606","ce_sha","Rhat"
"b[prev_std Stock:Gates]","0.999407281603589","ce_sha","Rhat"
"b[(Intercept) Stock:Harrison]","0.999958389473898","ce_sha","Rhat"
"b[prev_std Stock:Harrison]","1.00001113942526","ce_sha","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.0003144723836","ce_sha","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999954187799617","ce_sha","Rhat"
"b[(Intercept) Stock:L.Stuart]","1.00029119751121","ce_sha","Rhat"
"b[prev_std Stock:L.Stuart]","0.999841668058257","ce_sha","Rhat"
"b[(Intercept) Stock:Nadina]","1.00058704479193","ce_sha","Rhat"
"b[prev_std Stock:Nadina]","0.999349093908081","ce_sha","Rhat"
"b[(Intercept) Stock:Pitt]","0.999853319239813","ce_sha","Rhat"
"b[prev_std Stock:Pitt]","0.999290453849929","ce_sha","Rhat"
"b[(Intercept) Stock:Portage]","0.99982299261763","ce_sha","Rhat"
"b[prev_std Stock:Portage]","0.999908503554182","ce_sha","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00024271697114","ce_sha","Rhat"
"b[prev_std Stock:Quesnel]","1.00007610905193","ce_sha","Rhat"
"b[(Intercept) Stock:Raft]","0.99968894787859","ce_sha","Rhat"
"b[prev_std Stock:Raft]","1.00058802063203","ce_sha","Rhat"
"b[(Intercept) Stock:Scotch]","0.999592430917365","ce_sha","Rhat"
"b[prev_std Stock:Scotch]","1.00070736264351","ce_sha","Rhat"
"b[(Intercept) Stock:Seymour]","0.999641158369363","ce_sha","Rhat"
"b[prev_std Stock:Seymour]","1.00108467540808","ce_sha","Rhat"
"b[(Intercept) Stock:Stellako]","0.99965198810573","ce_sha","Rhat"
"b[prev_std Stock:Stellako]","0.999606754630714","ce_sha","Rhat"
"b[(Intercept) Stock:Weaver]","0.999305478863707","ce_sha","Rhat"
"b[prev_std Stock:Weaver]","1.00050838194538","ce_sha","Rhat"
"b[(Intercept) Year:2009]","1.00130243769506","ce_sha","Rhat"
"b[(Intercept) Year:2010]","1.00193949486992","ce_sha","Rhat"
"b[(Intercept) Year:2011]","1.0015156993884","ce_sha","Rhat"
"b[(Intercept) Year:2012]","1.00076324219442","ce_sha","Rhat"
"b[(Intercept) Year:2013]","1.00079543167435","ce_sha","Rhat"
"b[(Intercept) Year:2014]","1.00116389981056","ce_sha","Rhat"
"b[(Intercept) Year:2015]","1.00103757468711","ce_sha","Rhat"
"b[(Intercept) Year:2016]","1.00050240058269","ce_sha","Rhat"
"sigma","0.999301389281961","ce_sha","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00001173476408","ce_sha","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","0.999472468169206","ce_sha","Rhat"
"Sigma[Stock:prev_std,prev_std]","0.999621764915873","ce_sha","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00132250607157","ce_sha","Rhat"
"(Intercept)","1.00078518912963","de_sal","Rhat"
"sst_anom","1.00094115919047","de_sal","Rhat"
"prev_std","0.999394278557909","de_sal","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00022909987006","de_sal","Rhat"
"b[prev_std Stock:Birkenhead]","0.999813279922491","de_sal","Rhat"
"b[(Intercept) Stock:Bowron]","1.00041548831061","de_sal","Rhat"
"b[prev_std Stock:Bowron]","0.999729042711607","de_sal","Rhat"
"b[(Intercept) Stock:Chilko]","1.00127172269594","de_sal","Rhat"
"b[prev_std Stock:Chilko]","0.999329353095284","de_sal","Rhat"
"b[(Intercept) Stock:E.Stuart]","0.999468310998152","de_sal","Rhat"
"b[prev_std Stock:E.Stuart]","1.000311995862","de_sal","Rhat"
"b[(Intercept) Stock:Fennell]","1.00040056498666","de_sal","Rhat"
"b[prev_std Stock:Fennell]","1.00038835688197","de_sal","Rhat"
"b[(Intercept) Stock:Gates]","1.0021478098356","de_sal","Rhat"
"b[prev_std Stock:Gates]","1.00060836219904","de_sal","Rhat"
"b[(Intercept) Stock:Harrison]","1.00151845947756","de_sal","Rhat"
"b[prev_std Stock:Harrison]","1.00038405442077","de_sal","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00093608464814","de_sal","Rhat"
"b[prev_std Stock:L.Shuswap]","0.999464641859863","de_sal","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999506315674818","de_sal","Rhat"
"b[prev_std Stock:L.Stuart]","1.00021928220099","de_sal","Rhat"
"b[(Intercept) Stock:Nadina]","0.999688691733111","de_sal","Rhat"
"b[prev_std Stock:Nadina]","0.999802411845291","de_sal","Rhat"
"b[(Intercept) Stock:Pitt]","1.0002517719834","de_sal","Rhat"
"b[prev_std Stock:Pitt]","0.999822882705289","de_sal","Rhat"
"b[(Intercept) Stock:Portage]","0.999190888718495","de_sal","Rhat"
"b[prev_std Stock:Portage]","0.999837943108838","de_sal","Rhat"
"b[(Intercept) Stock:Quesnel]","0.999830193973374","de_sal","Rhat"
"b[prev_std Stock:Quesnel]","0.999627402248155","de_sal","Rhat"
"b[(Intercept) Stock:Raft]","1.00070378817657","de_sal","Rhat"
"b[prev_std Stock:Raft]","1.00058031643206","de_sal","Rhat"
"b[(Intercept) Stock:Scotch]","0.999976467683949","de_sal","Rhat"
"b[prev_std Stock:Scotch]","1.00124918880335","de_sal","Rhat"
"b[(Intercept) Stock:Seymour]","0.999708606389664","de_sal","Rhat"
"b[prev_std Stock:Seymour]","0.999745811861207","de_sal","Rhat"
"b[(Intercept) Stock:Stellako]","0.999514882541365","de_sal","Rhat"
"b[prev_std Stock:Stellako]","0.999638974619616","de_sal","Rhat"
"b[(Intercept) Stock:Weaver]","0.999771290863426","de_sal","Rhat"
"b[prev_std Stock:Weaver]","0.999336038844335","de_sal","Rhat"
"b[(Intercept) Year:2009]","1.00118983487724","de_sal","Rhat"
"b[(Intercept) Year:2010]","1.00029925513547","de_sal","Rhat"
"b[(Intercept) Year:2011]","1.0006630444777","de_sal","Rhat"
"b[(Intercept) Year:2012]","1.00059082244619","de_sal","Rhat"
"b[(Intercept) Year:2013]","1.00220415388011","de_sal","Rhat"
"b[(Intercept) Year:2014]","0.999922915263294","de_sal","Rhat"
"b[(Intercept) Year:2015]","1.00104799464001","de_sal","Rhat"
"b[(Intercept) Year:2016]","1.00275056559983","de_sal","Rhat"
"sigma","1.00019699046711","de_sal","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00267369088686","de_sal","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00101220356331","de_sal","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00032038475164","de_sal","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00314962184895","de_sal","Rhat"
"(Intercept)","1.00167482859688","fa_mar","Rhat"
"sst_anom","1.00290954791138","fa_mar","Rhat"
"prev_std","1.00174636310009","fa_mar","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00096783225517","fa_mar","Rhat"
"b[prev_std Stock:Birkenhead]","0.999540620180011","fa_mar","Rhat"
"b[(Intercept) Stock:Bowron]","1.00178833344641","fa_mar","Rhat"
"b[prev_std Stock:Bowron]","0.999450196663207","fa_mar","Rhat"
"b[(Intercept) Stock:Chilko]","1.00104891446104","fa_mar","Rhat"
"b[prev_std Stock:Chilko]","0.999833089468402","fa_mar","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00019511690219","fa_mar","Rhat"
"b[prev_std Stock:E.Stuart]","0.999797314611179","fa_mar","Rhat"
"b[(Intercept) Stock:Fennell]","1.00014948104942","fa_mar","Rhat"
"b[prev_std Stock:Fennell]","0.999622751106817","fa_mar","Rhat"
"b[(Intercept) Stock:Gates]","1.00072839185318","fa_mar","Rhat"
"b[prev_std Stock:Gates]","1.00025250653169","fa_mar","Rhat"
"b[(Intercept) Stock:Harrison]","1.00105662444593","fa_mar","Rhat"
"b[prev_std Stock:Harrison]","1.00076644039767","fa_mar","Rhat"
"b[(Intercept) Stock:L.Shuswap]","0.999516509342542","fa_mar","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00060847037725","fa_mar","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.99960652814372","fa_mar","Rhat"
"b[prev_std Stock:L.Stuart]","0.999660817973175","fa_mar","Rhat"
"b[(Intercept) Stock:Nadina]","0.999527043641071","fa_mar","Rhat"
