"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.273643657828036","-0.0271434358783993","0.00673452670207839","0.0768504861206977","0.412655066501355","arena2"
"b[(Intercept) Stock:Chilko]","-0.321970587221972","-0.0575547667334543","-0.00200074412497686","0.0364632655804769","0.270451266611775","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.330262783158808","-0.0473015159809301","-0.000238401401742113","0.0459927219552685","0.331792086036928","arena2"
"b[(Intercept) Stock:Gates]","-0.215030991061264","-0.022842201784655","0.0114290641537418","0.0856452854521751","0.452867787345023","arena2"
"b[(Intercept) Stock:Harrison]","-0.354919764937301","-0.0603926754251904","-0.00238158667998753","0.0395618094268656","0.298236800170236","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.287284186054295","-0.0427691363927919","0.000875897808358773","0.0499315101752528","0.313012286634352","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.405043875588172","-0.0634555473415456","-0.00394090231792857","0.0343582781775717","0.253660388669807","arena2"
"b[(Intercept) Stock:Nadina]","-0.378081940490183","-0.0562264582317412","-0.00161445942681578","0.0373995143575138","0.308927875464584","arena2"
"b[(Intercept) Stock:Pitt]","-0.273298051076823","-0.0309296498012612","0.00610869626873512","0.0749444340616968","0.450331589291592","arena2"
"b[(Intercept) Stock:Quesnel]","-0.41828392782517","-0.0898429446612752","-0.0117873530574117","0.0195527173325156","0.191626715426428","arena2"
"b[(Intercept) Stock:Scotch]","-0.291308272917881","-0.0392412217429587","0.00193268108210629","0.0636096923572013","0.368492739545688","arena2"
"b[(Intercept) Stock:Seymour]","-0.379674119947561","-0.0609468518393103","-0.00411715143596091","0.0321071204597872","0.314461797697386","arena2"
"b[(Intercept) Stock:Stellako]","-0.512504912673787","-0.0837247598721913","-0.00941513652205188","0.0239818611506811","0.228376158360643","arena2"
"b[(Intercept) Stock:Weaver]","-0.26596988764827","-0.0351822858255126","0.00418235834340908","0.0643769343595565","0.444000009569521","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.194646027087251","-0.0237001937725276","0.00281293342054057","0.0516155976384672","0.283630412445624","c_b_cys"
"b[(Intercept) Stock:Bowron]","-0.294056173449956","-0.0367034981924217","-4.97200788681303e-05","0.0359247429259881","0.267183986954288","c_b_cys"
"b[(Intercept) Stock:Chilko]","-0.277860041364552","-0.0394643292326075","-0.000186870557920319","0.0370758724399554","0.224010556607793","c_b_cys"
