"","prop0"
"arena2",0.148
"c_b_cys",0.4795
"ce_sha",0.276
"cr_sal",0.3475
"de_sal",0.712
"fa_mar",0.5505
"fl_psy",0.9115
"ic_hof",0.079
"ic_mul",0.763
"ihnv",0.411
"lo_sal",0.5805
"my_arc",0.459
"pa_kab",0.8385
"pa_min",0.213
"pa_pse",0.4815
"pa_ther",0.8385
"pspv",0.8135
"prv",0.5295
"rlo",0.942
"sch",0.644
"smallUK",0.559
"sp_des",0.363
"te_bry",0.093
"te_mar",0.577
"ven",0.828
"richness",0.681
"rib",0.4495
