"","prev_prop_neg"
"arena2",0.665
"c_b_cys",0.477
"ce_sha",0.4475
"Circo.virus",0.777
"de_sal",0.1745
"fa_mar",0.0975
"fl_psy",0.4575
"ic_hof",0.6315
"ic_mul",0.459
"IcD",0.201
"ihnv",0.11
"ku_thy",0.6405
"lo_sal",0.3445
"my_arc",0.589
"nu_sal",0.6465
"pa_kab",0.115
"pa_min",0.1415
"pa_pse",0.3585
"pa_ther",0.3025
"prv",0.33
"pspv",0.197
"Qin",0.7875
"Rhabdo3_virus",0.256
"rib",0.851
"richness",0.8155
"rlo",0.4785
"sch",0.2985
"sp_des",0.101
"te_bry",0.71
"te_mar",0.517
"ven",0.4645
