"","2.5","25","50","75","97.5","agent"
"b.load_std.Stock.Stellako.","-0.819053154748159","-0.227941144448046","0.00757982246206135","0.271703866752161","1.12098407165284","ce_sha"
"b.load_std.Stock.Weaver.","-0.370126601972701","-0.144867905984916","-0.0280298728168218","0.0850655209883812","0.291986747339571","ce_sha"
"load_std","-0.745688980332803","-0.353710639610871","-0.205098339686069","-0.0591281127631398","0.244298829200368","ven"
"b.load_std.Stock.Birkenhead.","-1.7367560902386","-0.743351763258779","-0.399765905594066","-0.106214602332023","0.538647909078237","ven"
"b.load_std.Stock.Chilko.","-0.457105313065619","-0.218846386455373","-0.0945482472026533","0.0382949267167333","0.274976372181456","ven"
"b.load_std.Stock.E.Stuart.","-1.06896127238163","-0.387402174790445","-0.152650898508883","0.0856034480823429","0.721534718942745","ven"
"b.load_std.Stock.Gates.","-1.91569201888999","-0.515368227873642","-0.15012569975808","0.134466075601338","0.827159354012052","ven"
"b.load_std.Stock.Harrison.","-1.4930075632081","-0.420887212939716","-0.101573110412407","0.236698295744291","1.11463716888948","ven"
"b.load_std.Stock.L.Shuswap.","-2.28979460714066","-1.22064627033908","-0.741849312087991","-0.389586566369568","0.0174317362996657","ven"
"b.load_std.Stock.L.Stuart.","-1.2746687874332","-0.485553786190006","-0.231175945534707","0.0224641663937704","0.694266824691975","ven"
"b.load_std.Stock.Nadina.","-1.44956460695723","-0.543398681018055","-0.257361095195673","0.0169901015752514","0.725472411039119","ven"
"b.load_std.Stock.Pitt.","-0.327579980711134","0.00894227862209941","0.177334088988331","0.375643623994878","0.752599742765399","ven"
"b.load_std.Stock.Quesnel.","-0.414126635000739","-0.277016140643273","-0.208398292790915","-0.131640117715193","0.0245864576250841","ven"
"b.load_std.Stock.Scotch.","-1.14057135696449","-0.463940820515933","-0.223930824438406","0.0031990372558077","0.641909037848878","ven"
"b.load_std.Stock.Seymour.","-1.35929243595156","-0.620963676702213","-0.29436473727153","0.00129949634188752","0.903161343597764","ven"
"b.load_std.Stock.Stellako.","-1.34558842981361","-0.666338837063526","-0.363360205195557","-0.102120731986125","0.467861372677168","ven"
"b.load_std.Stock.Weaver.","-1.53559655327533","-0.467226086211654","-0.200790755042877","0.0759223682502172","0.823408870224784","ven"
"load_std","-0.237700287140528","0.114655170780907","0.310779952910577","0.525763429053838","1.01869193187119","pa_pse"
"b.load_std.Stock.Birkenhead.","-0.64082969942863","0.0617071045446767","0.371881077632954","0.730257534495616","1.82503358605402","pa_pse"
"b.load_std.Stock.Bowron.","-0.664067478144155","-0.0167760831970918","0.268999906031388","0.579529485604189","1.40394787158433","pa_pse"
"b.load_std.Stock.Chilko.","-0.733097628517563","-0.15598432911872","0.106609199411971","0.341615355422848","0.889523089487266","pa_pse"
"b.load_std.Stock.E.Stuart.","-0.613168606303397","0.102549397435598","0.482591355595422","0.867296140474254","1.94471040258309","pa_pse"
"b.load_std.Stock.Gates.","-0.789216088441882","-0.0928285696240395","0.195912739694074","0.554834219702642","1.5000728516132","pa_pse"
"b.load_std.Stock.Harrison.","-0.534338868587051","-0.064050291481476","0.176428706030507","0.408011602082365","0.932805281283842","pa_pse"
"b.load_std.Stock.L.Shuswap.","-0.684054235840177","-0.281002109317168","-0.0712840752064334","0.133088516551643","0.499011158405741","pa_pse"
"b.load_std.Stock.L.Stuart.","-1.16919218597352","-0.278186400550273","0.0765704373474724","0.474301293884788","1.42587450838113","pa_pse"
"b.load_std.Stock.Nadina.","-0.659750571682036","0.0526379554215182","0.374283203108312","0.752685805885734","1.77742551724977","pa_pse"
"b.load_std.Stock.Pitt.","-1.13727582990733","-0.291144251441548","0.111430934994932","0.521227636282156","1.77112976488546","pa_pse"
"b.load_std.Stock.Portage.","-0.648456506922184","0.122900271186517","0.481483020515842","0.884455466243474","1.99646234783558","pa_pse"
"b.load_std.Stock.Quesnel.","-0.557149462873547","0.282528334351142","0.670659731635777","1.16642277991816","2.17244599656535","pa_pse"
"b.load_std.Stock.Raft.","-0.630908877640708","0.0933858137110788","0.434938150948747","0.864023713166306","1.96924009437978","pa_pse"
"b.load_std.Stock.Scotch.","-0.469563338378653","0.0155412690998232","0.26832414240164","0.504752940202678","1.04342648518897","pa_pse"
"b.load_std.Stock.Seymour.","-0.302658439662872","0.225589508573153","0.549162719530245","0.930145831083849","1.70245292041843","pa_pse"
"b.load_std.Stock.Stellako.","-0.709629918442633","-0.0364669623777837","0.272018677871949","0.649282813768263","1.4438396610938","pa_pse"
"b.load_std.Stock.Weaver.","-0.760666936956107","0.029857905864247","0.355164614627894","0.747765825024193","1.75880673682715","pa_pse"
"load_std","-0.213485954084814","-0.100141587636778","-0.0474797240594055","0.000627541873852399","0.123624366145584","sch"
"b.load_std.Stock.Birkenhead.","-0.373853681306621","-0.13577854928881","-0.0525434464848288","0.0284978235849815","0.279202897908568","sch"
"b.load_std.Stock.Bowron.","-0.422110317257006","-0.14347121261873","-0.0514825192397799","0.0340985339246526","0.311821046033468","sch"
"b.load_std.Stock.Chilko.","-0.383034658344806","-0.12214020987369","-0.0414125480060152","0.0408398913328519","0.302651333986478","sch"
"b.load_std.Stock.E.Stuart.","-0.409823896418181","-0.148078589936185","-0.0537029866943079","0.0318062450999089","0.371806231015336","sch"
"b.load_std.Stock.Gates.","-0.0494001396677923","0.00405719087778839","0.0298113678292459","0.0594307532073314","0.119046423565487","sch"
"b.load_std.Stock.Harrison.","-0.288515093644898","-0.10663746883747","-0.0372061409511563","0.0409535643740349","0.306854049474575","sch"
"b.load_std.Stock.L.Shuswap.","-0.437450229112359","-0.126349608893374","-0.0393815608211394","0.0379223559377984","0.294728351157912","sch"
"b.load_std.Stock.L.Stuart.","-0.242429944912823","-0.148132304111752","-0.0998159045935573","-0.0538191519514304","0.0340119726856117","sch"
"b.load_std.Stock.Nadina.","-0.276348304436695","-0.124887042802998","-0.0497449093929877","0.0223031665045736","0.219279645467957","sch"
"b.load_std.Stock.Pitt.","-0.341740927664599","-0.121710306361589","-0.0364522998497352","0.0348777701935864","0.241627938022588","sch"
"b.load_std.Stock.Portage.","-0.408518248123733","-0.154815757045015","-0.0582241523269979","0.0428073307797425","0.394067207164477","sch"
"b.load_std.Stock.Quesnel.","-0.252371278478951","-0.111722777924889","-0.0393433527859685","0.0382012187502525","0.208020594470516","sch"
"b.load_std.Stock.Raft.","-0.406980066641238","-0.136262233679919","-0.0490010820495366","0.0392074301806013","0.326918860909593","sch"
"b.load_std.Stock.Scotch.","-0.316876564038643","-0.144666029950012","-0.0704672816789736","-0.00466303650145282","0.162727276397953","sch"
"b.load_std.Stock.Seymour.","-0.307622702170965","-0.131413557928224","-0.0460065004300619","0.0459656291908363","0.320324846103832","sch"
