"","2.5%","25%","50%","75%","97.5%",""
"b[(Intercept) Stock:Birkenhead]","-0.21204952454093","-0.0280209776997862","0.0164961523552959","0.115192856248156","0.487677701692309","arena1"
"b[(Intercept) Stock:Chilko]","-0.359305194168123","-0.0833013074143528","-0.00854282094949991","0.0367702240273493","0.253868091140524","arena1"
"b[(Intercept) Stock:E.Stuart]","-0.37249768583906","-0.0614687387227832","-0.00123378243992444","0.0575321868959092","0.347035270679253","arena1"
"b[(Intercept) Stock:Gates]","-0.25635120526609","-0.0288343553721707","0.0143879594004695","0.110566358391848","0.493999576950833","arena1"
"b[(Intercept) Stock:Harrison]","-0.421872875306063","-0.0766984522936435","-0.00543512668023849","0.0431815544053367","0.282706676647497","arena1"
"b[(Intercept) Stock:L.Shuswap]","-0.311248256836268","-0.048048002621827","0.00383761075575441","0.0672596587752059","0.343948162896689","arena1"
"b[(Intercept) Stock:L.Stuart]","-0.434618209174731","-0.0823525395189414","-0.00756870694094325","0.041373726533678","0.284601848299557","arena1"
"b[(Intercept) Stock:Nadina]","-0.397256072433643","-0.0669959960096161","-0.002527343635611","0.051836843156548","0.333387560048354","arena1"
"b[(Intercept) Stock:Pitt]","-0.245699008274226","-0.0296093556450967","0.0124364285135811","0.0980656348067116","0.471553304713271","arena1"
"b[(Intercept) Stock:Quesnel]","-0.56000789244864","-0.127901838904863","-0.0236539318930409","0.0178092183167283","0.207221242781832","arena1"
"b[(Intercept) Stock:Scotch]","-0.370052732331632","-0.0612041401242004","8.21050797920649e-05","0.0588825432835429","0.386148644587794","arena1"
"b[(Intercept) Stock:Seymour]","-0.459136683430534","-0.0958935670849084","-0.0114701284525954","0.0327102297108809","0.259026233249623","arena1"
"b[(Intercept) Stock:Stellako]","-0.500085408172172","-0.102592814067492","-0.0135993913308777","0.0327788972051658","0.27336479174236","arena1"
"b[(Intercept) Stock:Weaver]","-0.302274104658651","-0.0422765330304419","0.00690645338916382","0.0928020513237579","0.491219941952506","arena1"
"b[(Intercept) Stock:Birkenhead]","-0.201951904445792","-0.0254210509949741","0.00421584923082989","0.0597587349691601","0.3421479043669","arena2"
"b[(Intercept) Stock:Chilko]","-0.22562622226952","-0.0307933621304396","0.00204936739859787","0.044357205854394","0.243021396172199","arena2"
"b[(Intercept) Stock:E.Stuart]","-0.274223077523098","-0.048824457230134","-0.000985056717444569","0.034923752229383","0.239876839822659","arena2"
"b[(Intercept) Stock:Gates]","-0.195584038399602","-0.0236700399339516","0.00443137225508978","0.0599530588396387","0.329630675177032","arena2"
"b[(Intercept) Stock:Harrison]","-0.320601754295267","-0.0499351443373341","-0.0016204954501919","0.0304873634145542","0.237190340161181","arena2"
"b[(Intercept) Stock:L.Shuswap]","-0.305515964664706","-0.0588691828505656","-0.00438558232594848","0.0266026430724414","0.184413076117063","arena2"
"b[(Intercept) Stock:L.Stuart]","-0.31288877922256","-0.0535171052209264","-0.00337097176319291","0.0335467350786621","0.24350560350679","arena2"
"b[(Intercept) Stock:Nadina]","-0.307594858002287","-0.0496015879211039","-0.00296766645259674","0.0313754970284256","0.247117729849548","arena2"
"b[(Intercept) Stock:Pitt]","-0.14984619533577","-0.0153562541123243","0.0130685254424767","0.0863289529890303","0.411345438113112","arena2"
"b[(Intercept) Stock:Quesnel]","-0.407511880552192","-0.0751332934526678","-0.0104252882868774","0.0162797106957223","0.160542057299445","arena2"
"b[(Intercept) Stock:Scotch]","-0.2846968361416","-0.0407540437031413","0.000161625936213905","0.0420609549590942","0.266275878932382","arena2"
"b[(Intercept) Stock:Seymour]","-0.318202389204391","-0.0541230259749052","-0.00318709405925385","0.0315504195368229","0.223500491308128","arena2"
"b[(Intercept) Stock:Stellako]","-0.338636057174556","-0.0709174565679068","-0.0067040033294743","0.0220285358211974","0.183701627291512","arena2"
"b[(Intercept) Stock:Weaver]","-0.232085778095139","-0.0328074979327312","0.00155658851512842","0.0479311628131165","0.317634614937659","arena2"
"b[(Intercept) Stock:Birkenhead]","-0.283769768949196","-0.040050267482989","0.00638738515169855","0.0813613456670548","0.404593675744929","ascv"
"b[(Intercept) Stock:Chilko]","-0.453472173677249","-0.0989646459340333","-0.0148232107252166","0.021060203128135","0.223044964134038","ascv"
"b[(Intercept) Stock:E.Stuart]","-0.368108713859645","-0.0680736692752942","-0.0021188655357413","0.0492700237911713","0.322332735238018","ascv"
"b[(Intercept) Stock:Gates]","-0.248952253178524","-0.0234673261889992","0.015257447717886","0.0976619353064816","0.477315344634123","ascv"
