"","prop0"
"arena2",0.4995
"c_b_cys",0.4775
"ce_sha",0.301
"Circo.virus",0.5855
"de_sal",0.71
"fl_psy",0.8985
"ic_hof",0.099
"ic_mul",0.759
"IcD",0.369
"ihnv",0.449
"lo_sal",0.5695
"my_arc",0.464
"pa_kab",0.881
"pa_min",0.224
"pa_pse",0.4805
"pa_ther",0.8675
"pch_sal",0.6505
"pspv",0.844
"prv",0.4905
"Qin",0.5185
"rlo",0.946
"sch",0.6165
"smallUK",0.5725
"sp_des",0.3425
"te_bry",0.0955
"te_mar",0.602
"ven",0.8285
"richness",0.718
"rib",0.585
