"","prop0"
"arena2",0.481
"c_b_cys",0.5
"ce_sha",0.2955
"Circo.virus",0.611
"de_sal",0.746
"fl_psy",0.8955
"ic_hof",0.1135
"ic_mul",0.7625
"IcD",0.322
"ihnv",0.4595
"lo_sal",0.584
"my_arc",0.423
"pa_kab",0.871
"pa_min",0.247
"pa_pse",0.5235
"pa_ther",0.8545
"pch_sal",0.657
"pspv",0.8275
"prv",0.518
"Qin",0.5175
"rlo",0.955
"sch",0.6255
"smallUK",0.5605
"sp_des",0.341
"te_bry",0.084
"te_mar",0.6075
"ven",0.8625
"richness",0.7235
"rib",0.5955
