"","prop0"
"arena2",0.8285
"de_sal",0.0185
"Qin",0.9175
"ic_mul",0.0585
"c_b_cys",1
"pa_ther",0.322
"fl_psy",0.6515
"te_bry",0.8635
"IcD",0.994
"ce_sha",0
"pspv",0.9975
"ic_hof",0.806
"my_arc",0.9965
"pa_pse",0.7675
"rlo",0.013
"sp_des",0.0115
"lo_sal",0.1385
"pa_min",0.542
"richness",0.9705
"rib",0.72
"sch",0.745
