"","2.5","25","50","75","97.5","agent"
"prev_std","-0.362887005497265","-0.122788151683623","0.00291213734228133","0.133164688033214","0.366006519388369","arena2"
"b.prev_std.Stock.Birkenhead.","-0.554550756299515","-0.157791492508848","-0.0170089032320146","0.129928919307856","0.500543711278439","arena2"
"b.prev_std.Stock.Chilko.","-0.54924262083632","-0.185111761501155","-0.0378666700772133","0.102812363067983","0.377181562823948","arena2"
"b.prev_std.Stock.E.Stuart.","-0.499921101671802","-0.134846278057641","0.00888816925470944","0.157375359692502","0.555114058040247","arena2"
"b.prev_std.Stock.Gates.","-0.463649076481327","-0.133227959991973","0.0186990270837028","0.166868542808469","0.563640375615427","arena2"
"b.prev_std.Stock.Harrison.","-0.526465175522946","-0.147416284389078","0.00136633554698033","0.148722026658757","0.495780369413422","arena2"
"b.prev_std.Stock.L.Shuswap.","-0.408706509209466","-0.142129807369366","-0.00878679984748916","0.118837160931511","0.400646906697164","arena2"
"b.prev_std.Stock.L.Stuart.","-0.395389870041505","-0.111608430453391","0.0319273875590896","0.182850893839217","0.538350880726129","arena2"
"b.prev_std.Stock.Nadina.","-0.511210915242715","-0.146370424765879","0.00927958074214784","0.164745848774065","0.568369206524372","arena2"
"b.prev_std.Stock.Pitt.","-0.55177070375285","-0.173126296525083","-0.022112560360863","0.133663876218218","0.457810242411592","arena2"
"b.prev_std.Stock.Quesnel.","-0.42712324928343","-0.129468256772257","0.0113203230949805","0.159739414135569","0.45557577255428","arena2"
"b.prev_std.Stock.Scotch.","-0.357716789348266","-0.086565756532709","0.0493386595812635","0.184117578035441","0.49061857544833","arena2"
"b.prev_std.Stock.Seymour.","-0.401458704493131","-0.10048810677798","0.0415997679361556","0.21236189362795","0.662024518451375","arena2"
"b.prev_std.Stock.Stellako.","-0.787347834903669","-0.209165335478262","-0.0384158959455787","0.107476477346481","0.391729020382631","arena2"
"b.prev_std.Stock.Weaver.","-0.56430598238006","-0.145010362757658","0.00710038272969012","0.174789553222436","0.570596171986221","arena2"
"prev_std","-0.357134215790571","-0.173249495595346","-0.0905701336585137","-0.0045705432226721","0.167556693743929","c_b_cys"
"b.prev_std.Stock.Birkenhead.","-0.431889888953129","-0.192368511222655","-0.097112305552782","-0.00138653355340354","0.214096789592711","c_b_cys"
"b.prev_std.Stock.Bowron.","-0.474038477087287","-0.195345235067828","-0.0925484797218401","0.010269660305214","0.260389797089828","c_b_cys"
"b.prev_std.Stock.Chilko.","-0.384119370469048","-0.163300222552268","-0.0615963380922224","0.0436160824400228","0.364093400500513","c_b_cys"
"b.prev_std.Stock.E.Stuart.","-0.445940000882429","-0.200327695767523","-0.0968811619353941","0.0088080361160051","0.263272974754122","c_b_cys"
"b.prev_std.Stock.Gates.","-0.523222413073125","-0.21371729617642","-0.107758259006122","-0.0121539354846585","0.22204218330816","c_b_cys"
"b.prev_std.Stock.Harrison.","-0.35046616303413","-0.162157427740514","-0.0752480947716112","0.00943215876157535","0.207141450015299","c_b_cys"
"b.prev_std.Stock.L.Shuswap.","-0.547274726373744","-0.228435515045508","-0.115474128254394","-0.0181068120595365","0.199196490505123","c_b_cys"
"b.prev_std.Stock.L.Stuart.","-0.39362789433296","-0.178393699445813","-0.0734207551445238","0.0340428139523608","0.328275238751788","c_b_cys"
"b.prev_std.Stock.Nadina.","-0.413835250858796","-0.187122407942976","-0.0807942541220362","0.0297696613721759","0.330695892400347","c_b_cys"
"b.prev_std.Stock.Pitt.","-0.496345617083348","-0.216306231635787","-0.114185161597267","-0.0176019430911405","0.190418003032482","c_b_cys"
"b.prev_std.Stock.Quesnel.","-0.392439896654293","-0.173053747360194","-0.0678996586530029","0.0455978562411377","0.365032210280659","c_b_cys"
"b.prev_std.Stock.Raft.","-0.401516262144565","-0.174515857751664","-0.0665816881928392","0.0431254175637341","0.353630249592591","c_b_cys"
"b.prev_std.Stock.Scotch.","-0.480899846255087","-0.212162180991831","-0.102166167243483","0.000758905067024694","0.245452368078596","c_b_cys"
"b.prev_std.Stock.Seymour.","-0.45374930077652","-0.204811705863728","-0.0978292584814829","0.00662626238052109","0.269975642722845","c_b_cys"
"b.prev_std.Stock.Stellako.","-0.495136428833901","-0.197970766666359","-0.0879588270579455","0.0171696820640824","0.311666699509599","c_b_cys"
"b.prev_std.Stock.Weaver.","-0.50582251514483","-0.211617947177235","-0.105680021426229","-0.00430727872643965","0.228055314199881","c_b_cys"
"prev_std","-0.190502584127998","-0.00601114642277755","0.0926411901746782","0.190330337450723","0.38741388208788","ce_sha"
"b.prev_std.Stock.Birkenhead.","-0.434466690132804","-0.0935680343416657","0.0390441445447282","0.172267296724502","0.409171292739996","ce_sha"
"b.prev_std.Stock.Bowron.","-0.447786991104022","-0.0493641204629695","0.0976298135827376","0.244519471747568","0.672225611749078","ce_sha"
"b.prev_std.Stock.Chilko.","-0.529476305998599","-0.10785564268637","0.0351423004305796","0.168637549181792","0.400015142911378","ce_sha"
"b.prev_std.Stock.E.Stuart.","-0.599352552966967","-0.101672472067334","0.0423269306939481","0.171088317451321","0.456763490883842","ce_sha"
"b.prev_std.Stock.Gates.","-0.495464609105455","-0.112688415869717","0.0416621252318819","0.177248669840831","0.482004308548499","ce_sha"
"b.prev_std.Stock.Harrison.","-0.27740068621314","-0.0114391497871109","0.120796924053095","0.251586873541397","0.564648790461514","ce_sha"
"b.prev_std.Stock.L.Shuswap.","-0.118291689175736","0.0952629564249895","0.229952867069063","0.387948641519708","0.708438931890233","ce_sha"
"b.prev_std.Stock.L.Stuart.","-0.554657216882175","-0.0722887565869264","0.075929192406359","0.209162466510222","0.598074804216435","ce_sha"
"b.prev_std.Stock.Nadina.","-0.415179334738433","-0.0369055154685207","0.0999473208452647","0.244372202161848","0.698054191878383","ce_sha"
"b.prev_std.Stock.Pitt.","-0.343428298286382","-0.0348565017117138","0.098647674174469","0.230646014606633","0.55459652389212","ce_sha"
"b.prev_std.Stock.Quesnel.","-0.352988375804471","-0.100170094880786","0.0266675740556468","0.144981818935011","0.356875842974738","ce_sha"
"b.prev_std.Stock.Raft.","-0.467855775594475","-0.110259044001918","0.0384284705965425","0.162127653816109","0.390880555527032","ce_sha"
"b.prev_std.Stock.Scotch.","-0.278224956181842","0.00499554967402117","0.143510490945043","0.298269145183732","0.812780923999435","ce_sha"
"b.prev_std.Stock.Seymour.","-0.368307066683985","-0.0289043996679527","0.110301922542617","0.249555297600099","0.710000775978351","ce_sha"
"b.prev_std.Stock.Stellako.","-0.171740705989614","0.0548639538048122","0.204273456683173","0.413068783118403","1.10619690208131","ce_sha"
"b.prev_std.Stock.Weaver.","-0.297863119633993","-0.00925573790115035","0.127262767473398","0.258753169697528","0.713064789168765","ce_sha"
"prev_std","-0.327004381322856","-0.111409413025712","-0.010507987321858","0.105276752060872","0.333716767035004","de_sal"
"b.prev_std.Stock.Birkenhead.","-0.500175782787742","-0.135835643694044","-0.0133720776899778","0.121493500305904","0.419378903631819","de_sal"
"b.prev_std.Stock.Bowron.","-0.439848015358995","-0.137656819746874","-0.00718672393879516","0.125691304603359","0.428721859821134","de_sal"
"b.prev_std.Stock.Chilko.","-0.371245616908921","-0.122349539319808","-0.0102715755117871","0.111184486965889","0.353499156278966","de_sal"
"b.prev_std.Stock.E.Stuart.","-0.421737717810967","-0.135167467185511","-0.00691866653144253","0.123273834789804","0.413830071023771","de_sal"
"b.prev_std.Stock.Gates.","-0.493149383626231","-0.145932263713191","-0.0185126173040339","0.114319087224322","0.401809268565056","de_sal"
