"","prev_prop_neg"
"arena2",0.49
"c_b_cys",0.765
"ce_sha",0.263
"cr_sal",0.255
"de_sal",0.519
"fa_mar",0.155
"fl_psy",0.672
"ic_hof",0.477
"ic_mul",0.812
"ihnv",0.3145
"ku_thy",0.2715
"lo_sal",0.269
"my_arc",0.633
"pa_kab",0.0955
"pa_min",0.0245
"pa_pse",0.5775
"pa_ther",0.1395
"pspv",0.507
"prv",0.163
"rlo",0.545
"sch",0.0305
"smallUK",0.5495
"sp_des",0.29
"te_bry",0.311
"te_mar",0.0395
"ven",0.654
"richness",0.811
"rib",0.1845
