"","prop0"
"arena2",0.114
"c_b_cys",0.4405
"ce_sha",0.325
"cr_sal",0.357
"de_sal",0.7355
"fa_mar",0.581
"fl_psy",0.8945
"ic_hof",0.4345
"ic_mul",0.5135
"ihnv",0.5325
"lo_sal",0.5715
"my_arc",0.5705
"pa_kab",0.9265
"pa_min",0.5695
"pa_pse",0.566
"pa_ther",0.846
"pspv",0.47
"prv",0.919
"rlo",0.942
"sch",0.715
"smallUK",0.524
"sp_des",0.2965
"te_bry",0.09
"te_mar",0.553
"ven",0.826
