"","prop0"
"arena2",0.298
"c_b_cys",0.2775
"ce_sha",0.2835
"de_sal",0.628
"fl_psy",0.578
"ic_hof",0.058
"ic_mul",0.7975
"IcD",0.0585
"lo_sal",0.3245
"my_arc",0.1855
"pa_min",0.229
"pa_pse",0.329
"pa_ther",0.4375
"pspv",0.577
"Qin",0.6055
"rib",0.647
"richness",0.7905
"rlo",0.8575
"sch",0.712
"sp_des",0.3285
"te_bry",0.1895
