"","lower","25","mid","75","upper"
"arena2",-0.420657868458033,-0.0629349926113768,0.0919025619640684,0.240006825318344,0.59631264457416
"c_b_cys",-0.464041670649163,-0.148068480230099,0.00427416790430281,0.146187545645201,0.46590422551408
"ce_sha",-0.30046524503877,-0.00187483807485971,0.132495982610948,0.266404125381846,0.569254474318966
"cr_sal",-0.439882324132247,-0.0762356880263957,0.0555180725433226,0.191358217889903,0.531884997662921
"de_sal",-0.525222521331431,-0.143945015769155,0.0154326296368395,0.180057099690978,0.587766382759149
"fa_mar",-0.43390320488734,-0.106313010866179,0.0330531002996237,0.164192914256037,0.487909261581308
"fl_psy",-0.606807649592952,-0.320638516927725,-0.196648328440715,-0.0715181631061906,0.225776622145643
"ic_hof",-0.52181368250832,-0.205225547055708,-0.0578422814331518,0.101157805722078,0.705507599760988
"ic_mul",-0.343419023202287,-0.125248323005855,-0.0129398868367967,0.0996979625961656,0.321299671599686
"ihnv",-0.505708836327108,-0.0688898985948269,0.0860296781035608,0.257517803035818,1.02192002195744
"lo_sal",-0.461788122741069,-0.124636196588644,0.0126765467241374,0.148677518924506,0.513762561013519
"my_arc",-0.414168717441656,-0.193190670322021,-0.0830097032359429,0.0306148527788355,0.254923458484562
"pa_kab",-0.719883578379114,-0.387965019824415,-0.261899977785357,-0.121022259253884,0.140588929018593
"pa_min",-0.360471396619114,-0.148055945074812,-0.0400193512685839,0.0710684999927672,0.286317343479826
"pa_pse",-0.336880597731359,-0.0952096449077533,0.0339190100454105,0.174292215061595,0.500184352704689
"pa_ther",-0.555518095242556,-0.235655776493077,-0.11069634231482,0.01167172645967,0.280285742515855
"pspv",-0.501040933875957,-0.123167731581503,0.0404816939892885,0.264913838558232,1.18888277169279
"prv",-0.508200596845897,-0.277732882306521,-0.166078583535918,-0.0558449611777787,0.15360991872335
"rlo",-0.717832713403362,-0.415819151768415,-0.275287768047656,-0.141823793130705,0.123650146885345
"sch",-1.2877773520874,-0.532019288803379,-0.182321569220094,0.0565317846489637,0.716205115896332
"smallUK",-0.534017809317187,-0.123244160766759,0.0356182819183008,0.183456566819702,0.531893128303401
"sp_des",-0.30320560465833,-0.0465121552272472,0.0778986271452089,0.200452191630512,0.509875544792428
"te_bry",-0.297405679024376,-0.0297348051294673,0.0959042579667234,0.212762196898102,0.449602690754438
"te_mar",-0.449897668422685,-0.144705602470702,-0.00198133352844234,0.149101035647781,0.733437728790116
"ven",-0.78468942401372,-0.422277966503231,-0.252585710281131,0.00796587897854987,0.981635204006403
