"","prop0"
"arena2",0.2055
"de_sal",0.9925
"Qin",0.068
"ic_mul",0.9405
"c_b_cys",0.0035
"pa_ther",0.488
"fl_psy",0.2845
"te_bry",0.208
"IcD",0.0075
"ce_sha",0.9995
"pspv",0.005
"ic_hof",0.0915
"my_arc",0
"pa_pse",0.0955
"rlo",0.994
"sp_des",0.9975
"lo_sal",0.6565
"pa_min",0.3055
"richness",0.0125
"rib",0.144
"sch",0.107
