"","V1","V2","V3"
"prev_std","0.999690965979689","arena2","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00001301313807","arena2","Rhat"
"b[prev_std Stock:Birkenhead]","0.999756088653","arena2","Rhat"
"b[(Intercept) Stock:Chilko]","0.99947699985234","arena2","Rhat"
"b[prev_std Stock:Chilko]","0.999877260578092","arena2","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00079451106097","arena2","Rhat"
"b[prev_std Stock:E.Stuart]","0.999646464416845","arena2","Rhat"
"b[(Intercept) Stock:Gates]","1.0001848488248","arena2","Rhat"
"b[prev_std Stock:Gates]","1.00086483899745","arena2","Rhat"
"b[(Intercept) Stock:Harrison]","1.00048822684203","arena2","Rhat"
"b[prev_std Stock:Harrison]","1.00163857360233","arena2","Rhat"
"b[(Intercept) Stock:L.Shuswap]","1.00065914162629","arena2","Rhat"
"b[prev_std Stock:L.Shuswap]","1.00004554033523","arena2","Rhat"
"b[(Intercept) Stock:L.Stuart]","0.999259379268638","arena2","Rhat"
"b[prev_std Stock:L.Stuart]","1.00052710465814","arena2","Rhat"
"b[(Intercept) Stock:Nadina]","0.999337301224148","arena2","Rhat"
"b[prev_std Stock:Nadina]","0.999660322817311","arena2","Rhat"
"b[(Intercept) Stock:Pitt]","0.999494198950747","arena2","Rhat"
"b[prev_std Stock:Pitt]","1.00111880894844","arena2","Rhat"
"b[(Intercept) Stock:Quesnel]","1.00084667555367","arena2","Rhat"
"b[prev_std Stock:Quesnel]","1.00010376782909","arena2","Rhat"
"b[(Intercept) Stock:Scotch]","0.999786730320365","arena2","Rhat"
"b[prev_std Stock:Scotch]","1.00063223972831","arena2","Rhat"
"b[(Intercept) Stock:Seymour]","0.999925219416275","arena2","Rhat"
"b[prev_std Stock:Seymour]","1.00244216986939","arena2","Rhat"
"b[(Intercept) Stock:Stellako]","0.999584334909089","arena2","Rhat"
"b[prev_std Stock:Stellako]","1.00235179188564","arena2","Rhat"
"b[(Intercept) Stock:Weaver]","0.999753510774561","arena2","Rhat"
"b[prev_std Stock:Weaver]","0.999667702385837","arena2","Rhat"
"b[(Intercept) Year:2008]","0.999258249473914","arena2","Rhat"
"b[(Intercept) Year:2009]","0.999967671251871","arena2","Rhat"
"b[(Intercept) Year:2010]","1.00035037139085","arena2","Rhat"
"b[(Intercept) Year:2011]","0.999468443138481","arena2","Rhat"
"b[(Intercept) Year:2013]","1.0004112662628","arena2","Rhat"
"b[(Intercept) Year:2014]","0.999754583883209","arena2","Rhat"
"b[(Intercept) Year:2015]","0.999870245322867","arena2","Rhat"
"b[(Intercept) Year:2016]","0.999185971282146","arena2","Rhat"
"b[(Intercept) Year:2017]","1.00042655922845","arena2","Rhat"
"b[(Intercept) Year:2018]","1.00093622644538","arena2","Rhat"
"sigma","1.00088064015079","arena2","Rhat"
"Sigma[Stock:(Intercept),(Intercept)]","1.00093781840956","arena2","Rhat"
"Sigma[Stock:prev_std,(Intercept)]","1.00444227895775","arena2","Rhat"
"Sigma[Stock:prev_std,prev_std]","1.00314720111193","arena2","Rhat"
"Sigma[Year:(Intercept),(Intercept)]","1.00294211892244","arena2","Rhat"
"mean_PPD","0.999855191998717","arena2","Rhat"
"log-posterior","1.00560190447311","arena2","Rhat"
"prev_std","1.00085844849052","c_b_cys","Rhat"
"b[(Intercept) Stock:Birkenhead]","1.00012795880268","c_b_cys","Rhat"
"b[prev_std Stock:Birkenhead]","1.00008186234465","c_b_cys","Rhat"
"b[(Intercept) Stock:Bowron]","0.999600538521534","c_b_cys","Rhat"
"b[prev_std Stock:Bowron]","1.00088781704911","c_b_cys","Rhat"
"b[(Intercept) Stock:Chilko]","1.00054787049236","c_b_cys","Rhat"
"b[prev_std Stock:Chilko]","0.999593518539749","c_b_cys","Rhat"
"b[(Intercept) Stock:E.Stuart]","1.00080091417323","c_b_cys","Rhat"
