"","lower","25","mid","75","upper"
"c_b_cys",-0.539813692963356,-0.196013630813398,-0.0413133072702644,0.113829487803218,0.494024130138155
"te_mar",-0.714553171592652,-0.352349723682962,-0.163926052448118,0.0520318295812125,0.644645163797724
"ce_sha",-0.419449364045116,-0.0197107938254042,0.135574928781022,0.286141258425777,0.645945471150418
"pa_ther",-0.669853912280543,-0.34383684201864,-0.194873639425927,-0.0292204545617094,0.484871712401762
"ku_thy",-0.840165062426638,-0.420965803822964,-0.260082366508805,-0.109541783935683,0.237402652144153
"te_bry",-0.665057129059026,-0.304809467092993,-0.165078347309376,-0.0208188094685375,0.360370368228158
"ven",-0.759313782553911,-0.441076674250437,-0.303401542867567,-0.163501359816847,0.15808771790613
"pa_min",-0.395376907674718,0.00496861535415114,0.17173252176972,0.349804424071473,0.830364299726332
"pa_kab",-0.750238584855344,-0.461084540366077,-0.332261740169974,-0.211638698813463,0.0818510401560927
"prv",-0.550658315451783,-0.139557656717279,0.0191461497466532,0.164980482117612,0.507941301717906
"ic_hof",-0.568744886926139,-0.210313687327412,-0.0551408366123948,0.098663679564422,0.485903951636567
"my_arc",-0.385037965587308,-0.0495711175617091,0.0948871715466049,0.252092414799873,0.630935544893341
"sch",-0.638471243150504,-0.279861954797144,-0.143396259920061,0.00253297729145063,0.4057754477256
"lo_sal",-0.484633666486238,-0.121170305767176,0.025730013491939,0.176783303516448,0.531439391797673
"arena2",-0.0901328629403828,0.240092362860438,0.401365104186524,0.570063196342578,0.97088892577822
"sp_des",-0.48808236363137,-0.115689316090653,0.0350523233509843,0.18731247736384,0.523975236269191
"de_sal",-0.0274091464628599,0.236569223025758,0.336081770715661,0.437360518337054,0.699862715161013
"rlo",-0.268662681867565,0.0750525794888541,0.198007444883231,0.344097489121857,0.66762690741393
"fl_psy",-0.374121607426576,0.031587313338982,0.236887263309222,0.443512127430388,0.9435796959839
"fa_mar",-0.0824781971331543,0.285646937677064,0.441677890263772,0.603261602653153,0.95677874868624
"ic_mul",-0.739672780274412,-0.513786251448039,-0.416371321048747,-0.31616310008418,-0.0328418904963548
"pspv",-0.453179704464568,-0.0670517265421959,0.0815297422112035,0.230887993809959,0.568042332514902
"pa_pse",-0.652515443171801,-0.20602865483511,-0.0412633890882242,0.124387307225512,0.523234015439655
