"","prev_prop_neg"
"arena1",0.5435
"arena2",0.8345
"ascv",0.352
"c_b_cys",0.763
"ce_sha",0.2345
"Circo.virus",0.786
"cr_sal",0.2415
"de_sal",0.499
"fa_mar",0.121
"fl_psy",0.72
"ic_hof",0.459
"ic_mul",0.807
"IcD",0.375
"ihnv",0.2815
"ku_thy",0.281
"lo_sal",0.2885
"mo_vis",0.688
"my_arc",0.619
"nu_sal",0.564
"pa_kab",0.1005
"pa_min",0.03
"pa_pse",0.6525
"pa_ther",0.101
"pch_sal",0.642
"Picorna2_virus",0.38
"pspv",0.136
"prv",0.4805
"Qin",0.844
"rlo",0.55
"re_sal",0.241
"Rhabdo3_virus",0.4775
"sch",0.2685
"smallUK",0.322
"sp_des",0.052
"te_bry",0.6445
"te_mar",0.834
"ven",0.1565
"richness",0.977
"rib",0.8365
