"","prev_prop_neg"
"arena2",0.4195
"c_b_cys",0.9835
"ce_sha",0.6835
"cr_sal",0.3005
"de_sal",0.68
"fa_mar",0.535
"fl_psy",0.7485
"ic_hof",0.906
"ic_mul",0.945
"ihnv",0.442
"ku_thy",0.495
"lo_sal",0.935
"my_arc",0.8215
"pa_kab",0.801
"pa_min",0.75
"pa_pse",0.16
"pa_ther",0.8705
"pspv",0.642
"prv",0.104
"rlo",0.8
"sch",0.436
"smallUK",0.4465
"sp_des",0.1935
"te_bry",0.4095
"te_mar",0.843
"ven",0.8475
