"","agent","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","prev_std","load_std","Stock","plot.agent"
"1","arena2",3,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,1,0.0344827586206897,0.358153377,0.0123501164482759,-0.311621599473136,-1.12672079971104,"Chilko","SPAV-2"
"2","arena2",4,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,56,3,0.0535714285714286,10.968791421,0.587613826125,0.403498285634318,0.731358824049766,"Chilko","SPAV-2"
"3","arena2",5,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,56,5,0.0892857142857143,15.4560880852,1.38000786475,1.74146452228697,1.51715082477065,"Chilko","SPAV-2"
"4","arena2",6,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,1,0.0333333333333333,2.794153965,0.0931384655,-0.35468258180219,-0.700141074979817,"Chilko","SPAV-2"
"5","arena2",9,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,12,0,0,NA,NA,-1.60345106934467,NA,"Gates","SPAV-2"
"6","arena2",19,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,23,1,0.0434782608695652,7.853917091,0.341474656130435,0.0253773926672609,0.185898268412271,"Quesnel","SPAV-2"
"7","arena2",33,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,1,0.0454545454545455,3.322921603,0.151041891045455,0.0994150500314417,-0.607546042541829,"Weaver","SPAV-2"
"8","c_b_cys",36,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,29,1,15104.2267308259,NA,0.90470928023414,2.38488283345168,"Chilko","Ca. B. cysticola"
"9","c_b_cys",37,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,89,0.967391304347826,1723.0023806377,0,0.747500599636767,-0.405787039235009,"Chilko","Ca. B. cysticola"
"10","c_b_cys",38,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,195,0.989847715736041,17976.1359398825,0,0.855764445665755,2.98382283304096,"Chilko","Ca. B. cysticola"
"11","c_b_cys",39,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,30,1,6133.93712026,NA,0.90470928023414,0.514118521430518,"Chilko","Ca. B. cysticola"
"12","c_b_cys",40,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,22,0.956521739130435,1785.78259836277,0,0.695097706104311,-0.392694151945992,"Chilko","Ca. B. cysticola"
"13","c_b_cys",41,"Gates",2012,1479,2010,"SR_cov_resid",-1.14368456200958,11,8,0.727272727272727,169.882787358,0,-0.410126957489339,-0.729691933452264,"Gates","Ca. B. cysticola"
"14","c_b_cys",42,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,30,0.75,1702.99081165597,0,-0.300557271012381,-0.409960475177866,"Gates","Ca. B. cysticola"
"15","c_b_cys",43,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,15,0.625,513.048225819533,0,-0.903190546635641,-0.658124382875441,"Gates","Ca. B. cysticola"
"16","c_b_cys",46,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,9,0.3,3.20752436188889,0,-2.47003706325612,-0.764452253045803,"Pitt","Ca. B. cysticola"
"17","c_b_cys",48,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,15,0.5,500.522250501133,0,-1.5058238222589,-0.660736689569677,"Portage","Ca. B. cysticola"
"18","c_b_cys",50,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,20,0.8,1751.36357895175,0,-0.0595039607630764,-0.399872278401693,"Quesnel","Ca. B. cysticola"
"19","c_b_cys",51,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,75,0.789473684210526,1468.97754899793,0,-0.110252026078721,-0.458764212774547,"Quesnel","Ca. B. cysticola"
"20","c_b_cys",52,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,31,0.704545454545455,2580.98596283971,0,-0.519696643966291,-0.226853567121354,"Quesnel","Ca. B. cysticola"
"21","c_b_cys",54,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,16,1,1787.95769272225,0,0.90470928023414,-0.392240533492224,"Raft","Ca. B. cysticola"
