"BY","stock_name","Stock.ID","total_adult_spawner","total_effective_female_spawner","juv_type","juvenile_estimate","age.21","age.31","age.32","age.41","age.42","age.43","age.51","age.52","age.53","age.62","age.63","recruits_no_jacks","total_recruits_psc","total_recruits","prop_4s","Smolt.migration.year","Total.smolts","age.1.smolts","age.2.smolts","age.1.mean.length..mm.","age.2.mean.length..mm.","age.1.mean.weighted.length..mm.","age.2.mean.weighted.length..mm.","Proportion.age.2.smolts","RSM","efs","efs_lag1","efs_lag2","efs_lag3","lnMS","ocean_0","ocean_1","ocean_2"
1997,"Chilko",7,985827,"509295","",21837625,0,0,222,0,663879,0,0,204615,16297,0,0,884791,885013,885013,"0.764402517",1999,21960685,21837625,123060,"76.69","111.05",76.37,111.51,0.01,0.0402998813561599,509295,504519,298077,253982,3.76398167176936,0,0.0395577824644359,0.000742098891724006
1998,"Chilko",7,879010,"467670","",11078244,0,0,1084,0,423716,0,0,73801,34730,0,3035,535282,536366,536366,"0.85166135",2000,11745676,11078244,667432,"76.90","102.76",76.65,103.29,0.06,0.0456649749235378,467670,509295,504519,298077,3.22347753285099,0,0.042449749167268,0.0032152257562698
1999,"Chilko",7,891567,"432593","",19985332,0,0,2228,0,1449980,0,0,109275,9106,0,0,1568361,1570589,1570589,"0.929918455",2001,20247396,19985332,262064,"84.07","108.50",84.01,109.77,0.01,0.0775699255351157,432593,467670,509295,504519,3.84598413951509,0,0.0771201886899431,0.000449736845172584
2000,"Chilko",7,758941,"395550","",19475377,0,0,3918,0,424960,59,0,27152,42236,0,3565,497913,501890,501890,"0.939944085",2002,19756591,19475377,281214,"76.71","110.07",76.44,110.87,0.01,0.0254036741460103,395550,432593,467670,509295,3.91096523470821,0,0.0230824234808525,0.00232125066515777
2001,"Chilko",7,668671,"331293","",35710945,0,0,176,0,1001606,0,0,89122,67732,0,0,1158460,1158636,1158636,"0.91829127",2003,36840676,35710945,1129731,"81.75","115.07",82.8,114.85,0.03,0.0314499115054241,331293,395550,432593,467670,4.71135465962444,0,0.0296114001816905,0.00183851132373358
2002,"Chilko",7,382814,"215118","",19625177,0,0,4514,0,1119367,0,0,106118,8734,0,554,1234773,1239287,1239287,"0.913407345",2004,21003439,19625177,1378262,"85.25","125.47",85.14,126.01,0.07,0.0590040040585735,215118,331293,395550,432593,4.5812547504219,0,0.0585617907619795,0.000442213296593953
2003,"Chilko",7,608321,"334956","",23304118,0,0,557,0,321849,0,0,29357,30465,0,3834,385505,386062,386062,"0.916410881",2005,25019941,24778429,241512,"80.21","80.43",127.41,128.75,0.01,0.0154301722773847,334956,215118,331293,395550,4.31342924598941,0,0.0140593057353732,0.00137086654201143
2004,"Chilko",7,91909,"49198","",10761320,0,0,854,0,388845,0,0,33231,3834,0,0,425910,426764,426764,"0.921267734",2006,11543687,10974249,569438,"99.96","133.70",100.35,133.79,0.05,0.0369694708458398,49198,334956,215118,331293,5.4580410141685,0,0.0366373412584731,0.000332129587366671
2005,"Chilko",7,535967,"285103","",77128475,0,0,720,0,262014,164,0,38003,63339,0,0,363357,364241,364240,"0.873330511",2007,76558088,76507905,50183,"88.42","160.31",88.06,160.15,0,0.00475769457565346,285103,49198,334956,215118,5.59295453345138,0,0.00392821983746512,0.000829474738188341
2006,"Chilko",7,468947,"261967","",71909208,0,0,4235,0,4459074,660,0,339299,293379,0,0,5091751,5096646,5096647,"0.92928874",2008,73940221,72782871,1157350,"80.81","116.75",81.93,116.19,0.02,0.068929290865928,261967,285103,49198,334956,5.64279367976636,0,0.0649525783808517,0.00397671248507629
2007,"Chilko",7,305853,"156566","",NA,0,0,2369,0,1056164,781,0,16286,57479,0,0,1129928,1133078,1133079,"0.98481421",2009,27525866,25223336,2302530,"83.03","116.65",81.9,116,0.09,0.0411641544720155,156566,261967,285103,49198,5.16940377708422,0,0.0390475998103021,0.00211655466171346
2008,"Chilko",7,249863,"68851","",NA,0,0,1830,0,477074,0,0,45259,14292,0,0,536626,538456,538455,"0.91335221",2010,13486829,12115484,1371345,"91.86","126.27",91.46,126.84,0.11,0.0399245070876186,68851,156566,261967,285103,5.27752410916309,0,0.0388648065457047,0.00105970054191389
2009,"Chilko",7,213379,"127367","",NA,0,0,1081,0,1643617,689,0,187156,5199,0,1489,1837461,1839231,1839231,"0.897772143",2011,34198181,33837813,360368,"87.29","117.15",87.21,106.78,0.01,0.0537815446967779,127367,68851,156566,261967,5.59285505160445,0,0.0535658314692235,0.000215713227554413
2010,"Chilko",7,2459946,"1181540","",NA,0,0,36812,0,2666968,1553,0,78928,132540,623,0,2879059,2917424,2917424,"0.971256013",2012,55627562,54972236,655327,"77.36","107.63",77.42,105.99,0.01,0.0524456563456799,1181540,127367,68851,156566,3.85186012551224,0,0.0500351066976475,0.00241054964803239
2011,"Chilko",7,916643,"457653","",NA,0,0,2174,0,786305,166,0,89068,3114,0,0,878487,880827,880827,"0.898251374",2013,47459317,43224184,4235133,"85.49","115.09",85.28,115.23,0.1,0.0185596223392764,457653,1181540,127367,68851,4.64151688378294,0,0.0184905105145108,6.91118247656198e-05
2012,"Chilko",7,NA,"90758","",NA,0,0,1941,0,206164,0,0,25175,0,0,0,231339,233280,233280,"0.891177017",2014,12568328,11492488,1075840,"98.39","143.15",98.89,142.82,0.09,0.0185609414394659,90758,457653,1181540,127367,4.93073865409207,0,0.0185609414394659,0
2013,"Chilko",7,NA,"624495","",NA,0,0,769,0,435384.071,0,0,40614.90813,5802.129732,0,0,474881,475650,482570.1089,"0.91467438",2015,78434939.5226994,1082606,2642,"79.58","116.67",79.43,116.67,0,0.0185596223392764,624495,90758,457653,1181540,4.83308144111167,0,0.00607851528963086,7.39737898353429e-05
2014,"Chilko",7,NA,"665987","",NA,0,0,2639,0,1560772.898,0,0,73000,0,0,194.092827,1328076,1330715,1636605.991,"0.955318147",2016,62748092,62471644,276449,"77.87","122.73",79.6,123.42,0,0.0260821634385313,665987,624495,90758,457653,4.54561329932688,0,0.0260790702289402,3.0932068340819e-06
2015,"Chilko",7,NA,"429012","",NA,0,0,1258,0,132000,56,0,38333.33333,3299.578059,0,0,0,1258,174946.9114,"0.774951076",2017,71659355,71006623,652732,"87.63","120.30",87.72,113.83,0.01,0.00244136877034408,429012,665987,624495,90758,5.11819409941637,0,0.0023945419733404,4.6826796850181e-05
2016,"Chilko",7,NA,"66013","",NA,0,0,84,0,27172.99578,0,0,2586.533698,0,0,0,0,0,29843.52948,"0.913085531",2018,9088395,8631918,456477,"82.60","112.62",83.28,113.07,0.05,0.00328369634902532,66013,429012,665987,624495,4.92490191159744,0,0.00328369634880526,0
