"","prop0"
"arena2",0.293
"c_b_cys",0.2735
"ce_sha",0.312
"de_sal",0.638
"fl_psy",0.5635
"ic_hof",0.0705
"ic_mul",0.815
"IcD",0.055
"lo_sal",0.3185
"my_arc",0.1935
"pa_min",0.2245
"pa_pse",0.3395
"pa_ther",0.419
"pspv",0.58
"Qin",0.595
"rlo",0.8355
"sch",0.6885
"sp_des",0.3555
"te_bry",0.196
"richness",0.807
"rib",0.6445
