"","prop0"
"arena2",0.134
"c_b_cys",0.458
"ce_sha",0.309
"cr_sal",0.323
"de_sal",0.7525
"fa_mar",0.6315
"fl_psy",0.901
"ic_hof",0.4045
"ic_mul",0.5115
"ihnv",0.523
"lo_sal",0.5805
"my_arc",0.5535
"pa_kab",0.9285
"pa_min",0.593
"pa_pse",0.5635
"pa_ther",0.846
"pspv",0.4675
"prv",0.9135
"rlo",0.9435
"sch",0.721
"smallUK",0.5115
"sp_des",0.337
"te_bry",0.0745
"te_mar",0.5505
"ven",0.8455
