brood_year,mean FR temp,FR_anom
2005,10.91413043,0.965244962
2006,13.14042553,3.191540059
2007,12.80434783,2.855462353
2008,10.14615385,0.197268373
2009,8.642857143,-1.30602833
2010,10.26630435,0.317418875
2011,8.315217391,-1.633668081
2012,8.733695652,-1.215189821
2013,9.75,-0.198885473
2014,9.17826087,-0.770624603
2015,11.51413043,1.565244962
2016,11.78804348,1.839158006
2017,9.665217391,-0.283668081
