"","prev_prop_neg"
"arena2",0.495
"c_b_cys",0.7355
"ce_sha",0.274
"cr_sal",0.2295
"de_sal",0.502
"fa_mar",0.157
"fl_psy",0.6975
"ic_hof",0.4255
"ic_mul",0.7925
"ihnv",0.288
"ku_thy",0.259
"lo_sal",0.2575
"my_arc",0.6315
"pa_kab",0.088
"pa_min",0.0295
"pa_pse",0.584
"pa_ther",0.1135
"pspv",0.5065
"prv",0.177
"rlo",0.574
"sch",0.2855
"smallUK",0.2985
"sp_des",0.041
"te_bry",0.6565
"te_mar",0.8175
"ven",0.1825
