"","Latitude","Longitude"
"39",49.07788,-121.978
"40",49.07788,-121.978
"41",49.07788,-121.978
"42",49.07788,-121.978
"43",49.07788,-121.978
"44",49.07788,-121.978
"45",49.07788,-121.978
"46",49.1329,-122.3262
"47",49.1329,-122.3262
"48",49.1329,-122.3262
"49",49.1329,-122.3262
"50",49.1329,-122.3262
"51",49.1329,-122.3262
"52",49.1329,-122.3262
"53",49.1329,-122.3262
"54",49.1329,-122.3262
"55",49.1329,-122.3262
"56",49.1329,-122.3262
"57",49.1329,-122.3262
"58",49.1329,-122.3262
"59",49.1329,-122.3262
"60",49.1329,-122.3262
"61",49.1329,-122.3262
"62",49.1329,-122.3262
"63",49.1329,-122.3262
"64",49.1329,-122.3262
"65",49.1329,-122.3262
"66",49.1329,-122.3262
"67",49.1329,-122.3262
"68",49.1329,-122.3262
"69",49.1329,-122.3262
"70",49.1329,-122.3262
"71",49.1329,-122.3262
"72",49.1329,-122.3262
"73",49.1329,-122.3262
"74",49.1329,-122.3262
"75",49.1329,-122.3262
"76",49.1329,-122.3262
"77",49.1329,-122.3262
"78",49.1329,-122.3262
"79",49.1329,-122.3262
"80",49.1329,-122.3262
"81",49.1329,-122.3262
"82",49.1329,-122.3262
"83",49.1329,-122.3262
"84",49.1329,-122.3262
"85",49.1329,-122.3262
"86",49.1329,-122.3262
"87",49.1329,-122.3262
"88",49.1329,-122.3262
"89",49.1329,-122.3262
"90",49.1329,-122.3262
"91",49.1329,-122.3262
"92",49.1329,-122.3262
"93",49.1329,-122.3262
"94",49.1329,-122.3262
"95",49.1329,-122.3262
"96",49.1329,-122.3262
"97",49.1329,-122.3262
"98",49.1329,-122.3262
"99",49.1329,-122.3262
"100",49.1329,-122.3262
"101",49.1329,-122.3262
"102",49.1329,-122.3262
"103",49.1329,-122.3262
"104",49.1329,-122.3262
"105",49.1329,-122.3262
"106",49.1329,-122.3262
"107",49.1329,-122.3262
"108",49.1329,-122.3262
"109",49.1329,-122.3262
"110",49.1329,-122.3262
"111",49.1329,-122.3262
"112",49.1329,-122.3262
"113",49.1329,-122.3262
"114",49.1329,-122.3262
"115",49.1329,-122.3262
"116",49.1329,-122.3262
"117",49.1329,-122.3262
"118",49.1329,-122.3262
"119",49.1329,-122.3262
"120",49.1329,-122.3262
"121",49.1329,-122.3262
"122",49.1329,-122.3262
"123",49.1329,-122.3262
"124",49.1329,-122.3262
"125",49.1329,-122.3262
"126",49.1329,-122.3262
"127",49.1329,-122.3262
"128",49.1329,-122.3262
"129",49.1329,-122.3262
"130",49.1329,-122.3262
"131",49.1329,-122.3262
"132",49.07788,-121.978
"133",49.07788,-121.978
"134",49.07788,-121.978
"135",49.07788,-121.978
"136",49.07788,-121.978
"137",49.07788,-121.978
"138",49.07788,-121.978
"139",49.07788,-121.978
"140",49.07788,-121.978
"141",49.07788,-121.978
"142",49.07788,-121.978
"143",49.07788,-121.978
"144",49.07788,-121.978
"145",49.07788,-121.978
"146",49.07788,-121.978
"147",49.07788,-121.978
"148",49.07788,-121.978
"149",49.07788,-121.978
"150",49.07788,-121.978
"151",49.07788,-121.978
"152",49.07788,-121.978
"153",49.07788,-121.978
"154",49.07788,-121.978
"155",49.07788,-121.978
"156",49.07788,-121.978
"157",49.07788,-121.978
"158",49.07788,-121.978
"159",49.1329,-122.3262
"160",49.1329,-122.3262
"161",49.1329,-122.3262
"162",49.1329,-122.3262
"163",49.1329,-122.3262
"164",49.1329,-122.3262
"165",49.1329,-122.3262
"166",49.1329,-122.3262
"167",49.1329,-122.3262
"168",49.1329,-122.3262
"169",49.1329,-122.3262
"170",49.1329,-122.3262
"171",49.1329,-122.3262
"172",49.1329,-122.3262
"173",49.1329,-122.3262
"174",49.1329,-122.3262
"175",49.1329,-122.3262
"176",49.1329,-122.3262
"177",49.1329,-122.3262
"178",49.1329,-122.3262
"179",49.1329,-122.3262
"180",49.1329,-122.3262
"181",49.1329,-122.3262
"182",49.1329,-122.3262
"183",49.1329,-122.3262
"184",49.1329,-122.3262
"185",49.1329,-122.3262
"186",49.1329,-122.3262
"187",49.1329,-122.3262
"188",49.1329,-122.3262
