"","prev_prop_neg"
"arena2",0.4965
"c_b_cys",0.749
"ce_sha",0.2385
"cr_sal",0.246
"de_sal",0.5315
"fa_mar",0.1585
"fl_psy",0.6945
"ic_hof",0.433
"ic_mul",0.7915
"ihnv",0.32
"ku_thy",0.2885
"lo_sal",0.2785
"my_arc",0.637
"pa_kab",0.0965
"pa_min",0.0255
"pa_pse",0.5975
"pa_ther",0.133
"pspv",0.1645
"prv",0.5175
"rlo",0.5415
"sch",0.266
"smallUK",0.302
"sp_des",0.041
"te_bry",0.653
"te_mar",0.8125
"ven",0.178
"richness",0.977
"rib",0.864
