"","prev_prop_neg"
"arena2",0.541
"c_b_cys",0.9725
"ce_sha",0.6315
"cr_sal",0.286
"de_sal",0.442
"fa_mar",0.329
"fl_psy",0.517
"ic_hof",0.847
"ic_mul",0.8195
"ihnv",0.2095
"ku_thy",0.326
"lo_sal",0.8935
"my_arc",0.8865
"pa_kab",0.577
"pa_min",0.8165
"pa_pse",0.218
"pa_ther",0.8745
"pspv",0.511
"prv",0.0355
"rlo",0.7915
"sch",0.286
"smallUK",0.186
"sp_des",0.135
"te_bry",0.5665
"te_mar",0.8905
"ven",0.854
