"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",1868,0.623914495657983,0,0,NaN
"ae_sal",2938,0.981295925183701,0,0,NaN
"arena1",1140,0.380761523046092,4,0.00350877192982456,0.85742275525
"arena2",1735,0.579492317969272,694,0.4,600727.534575211
"ascv",1134,0.37875751503006,2,0.0017636684303351,0.386433453
"aspv",357,0.119238476953908,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",2801,0.935537742150969,2494,0.890396287040343,42085.7301519095
"ce_sha",2954,0.986639946559786,175,0.0592417061611374,2428.79602632935
"Circo.virus",1247,0.416499665998664,16,0.0128307939053729,26.938279188
"cov",1128,0.376753507014028,0,0,NaN
"cr_sal",2938,0.981295925183701,2,0.00068073519400953,2.974978477
"ctv",1130,0.377421509686039,1,0.000884955752212389,0.002629335
"de_sal",2803,0.936205744822979,32,0.0114163396361042,43666.1416882522
"fa_mar",2954,0.986639946559786,66,0.022342586323629,3106.49722320336
"fl_psy",2955,0.986973947895792,47,0.0159052453468697,25.4769561095957
"gy_sal",1868,0.623914495657983,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",2953,0.986305945223781,295,0.0998984083982391,50586.4341985898
"ic_mul",2937,0.980961923847695,143,0.048689138576779,3.35575495058741
"IcD",1247,0.416499665998664,997,0.799518845228549,6831780.6203764
"ihnv",2954,0.986639946559786,11,0.0037237643872715,14524.7276075407
"ipnv",1868,0.623914495657983,0,0,NaN
"isav7",1868,0.623914495657983,2,0.00107066381156317,9.963585202
"isav8",1868,0.623914495657983,0,0,NaN
"ku_thy",2955,0.986973947895792,36,0.0121827411167513,4.73088324533333
"lo_sal",2933,0.979625918503674,201,0.0685305148312308,3381.45966954788
"mitov",1121,0.374415497661991,0,0,NaN
"mo_vis",1515,0.506012024048096,5,0.0033003300330033,212.7928248606
"my_arc",2955,0.986973947895792,1795,0.607445008460237,362427.46367666
"my_cer",357,0.119238476953908,0,0,NaN
"my_ins",2803,0.936205744822979,0,0,NaN
"na_sal",2954,0.986639946559786,2,0.000677048070412999,4.9589003015
"ne_per",2739,0.914829659318637,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",945,0.31563126252505,9,0.00952380952380952,0.273572906
"omv",1868,0.623914495657983,0,0,NaN
"ortho",1103,0.368403473613894,0,0,NaN
"pa_kab",2954,0.986639946559786,700,0.23696682464455,199812.030961115
"pa_min",2954,0.986639946559786,1629,0.551455653351388,983217.285817138
"pa_pse",2954,0.986639946559786,358,0.121191604603927,333053.971755454
"pa_ther",2954,0.986639946559786,2137,0.72342586323629,1628.30695157261
"pch_sal",2956,0.987307949231797,1,0.0003382949932341,16857.91172
"Picorna2_virus",1247,0.416499665998664,5,0.00400962309542903,0.868855369
"pisck_sal",2953,0.986305945223781,4,0.00135455469014561,1.74150076125
"pmcv",1868,0.623914495657983,4,0.00214132762312634,260.9859060625
"prv",2925,0.976953907815631,18,0.00615384615384615,1.94993655733333
"pspv",2952,0.985971943887776,1501,0.508468834688347,7428.71224353128
"Qin",1247,0.416499665998664,49,0.0392943063352045,188.462759712633
"re_sal",2955,0.986973947895792,5,0.00169204737732657,1.242006591
"reov",1119,0.37374749498998,0,0,NaN
"Rhabdo3_virus",1247,0.416499665998664,11,0.00882117080994387,51.0820045689091
"rlo",2954,0.986639946559786,57,0.0192958700067705,100.626528778439
"Salmovirus",0,0,0,NaN,NaN
"sav",1868,0.623914495657983,0,0,NaN
"sch",2955,0.986973947895792,552,0.186802030456853,39.0955564935888
"SGPV",967,0.322979291917168,0,0,NaN
"smallUK",1137,0.379759519038076,13,0.0114335971855761,1707.23493123362
"sp_des",2937,0.980961923847695,59,0.0200885257065032,438.339046408627
"sp_sal",1868,0.623914495657983,0,0,NaN
"te_bry",2955,0.986973947895792,53,0.0179357021996616,2551.6043481083
"te_mar",2602,0.869071476285905,62,0.0238278247501922,273.397809003177
"toti",1115,0.372411489645959,1,0.000896860986547085,0.681975941
"ven",2953,0.986305945223781,495,0.16762614290552,6.95329993569899
"ver",2937,0.980961923847695,1,0.000340483486550902,2.971504356
