"","N","perc.run","posdet","prev","mean.load"
"ae_hyd",2987,0.72676399026764,0,0,NaN
"ae_sal",4058,0.987347931873479,0,0,NaN
"arena1",1159,0.281995133819951,2,0.00172562553925798,1.148581859
"arena2",2002,0.487104622871046,688,0.343656343656344,750446.299866838
"ascv",1151,0.280048661800487,2,0.00173761946133797,0.386433453
"aspv",290,0.0705596107055961,0,0,NaN
"Bafini_b",0,0,0,NaN,NaN
"c_b_cys",4000,0.97323600973236,3541,0.88525,28435.7646825638
"ce_sha",4072,0.990754257907543,207,0.0508349705304519,1995.70007607899
"Circo.virus",1560,0.37956204379562,21,0.0134615384615385,51.6767101442381
"cov",1146,0.278832116788321,0,0,NaN
"cr_sal",4058,0.987347931873479,3,0.000739280433711188,358.763069651333
"ctv",1148,0.279318734793187,1,0.000871080139372822,0.002629335
"de_sal",4002,0.973722627737226,54,0.0134932533733133,28769.3625967701
"fa_mar",4072,0.990754257907543,63,0.0154715127701375,3254.34569894129
"fl_psy",4073,0.990997566909976,198,0.0486128161060643,26787.6753576096
"gy_sal",2987,0.72676399026764,0,0,NaN
"Hantavirus",0,0,0,NaN,NaN
"ic_hof",4071,0.990510948905109,272,0.0668140506018177,44088.0224170561
"ic_mul",4057,0.987104622871046,693,0.170815873798373,48.0859414555108
"IcD",1560,0.37956204379562,1172,0.751282051282051,5607668.50190728
"ihnv",4072,0.990754257907543,15,0.00368369351669941,13083.7151453987
"ipnv",2987,0.72676399026764,0,0,NaN
"isav7",2987,0.72676399026764,1,0.00033478406427854,6.853729824
"isav8",2987,0.72676399026764,0,0,NaN
"ku_thy",4073,0.990997566909976,29,0.00712005892462558,2.72328307675862
"lo_sal",4061,0.988077858880779,198,0.0487564639251416,1009.16275898522
"mitov",1142,0.277858880778589,0,0,NaN
"mo_vis",2701,0.657177615571776,5,0.00185116623472788,212.7928248606
"my_arc",4072,0.990754257907543,2551,0.62647347740668,322458.512609941
"my_cer",290,0.0705596107055961,0,0,NaN
"my_ins",4002,0.973722627737226,0,0,NaN
"na_sal",4072,0.990754257907543,1,0.000245579567779961,0.06758749
"ne_per",3908,0.950851581508516,0,0,NaN
"Nido2_a",0,0,0,NaN,NaN
"nu_sal",1140,0.277372262773723,10,0.0087719298245614,0.2611310066
"omv",2987,0.72676399026764,0,0,NaN
"ortho",1124,0.273479318734793,0,0,NaN
"pa_kab",4072,0.990754257907543,607,0.149066797642436,9318.20340503624
"pa_min",4072,0.990754257907543,1613,0.396119842829077,872210.760835489
"pa_pse",4072,0.990754257907543,312,0.0766208251473477,380768.391969396
"pa_ther",4071,0.990510948905109,1962,0.481945467943994,1552.40313579861
"pch_sal",4065,0.989051094890511,5,0.001230012300123,43390.278909324
"Picorna2_virus",1560,0.37956204379562,5,0.00320512820512821,0.868855369
"pisck_sal",4071,0.990510948905109,1,0.000245639891918448,0.055333208
"pmcv",2986,0.726520681265207,0,0,NaN
"prv",4043,0.983698296836983,21,0.00519416275043285,1.66912067190476
"pspv",4070,0.990267639902676,2142,0.526289926289926,11336.9911298061
"Qin",1560,0.37956204379562,68,0.0435897435897436,168.070958737221
"re_sal",4073,0.990997566909976,6,0.00147311563957771,2.3237409505
"reov",1142,0.277858880778589,0,0,NaN
"Rhabdo3_virus",1560,0.37956204379562,12,0.00769230769230769,47.0594282556667
"rlo",4072,0.990754257907543,181,0.0444499017681729,43.5451735921823
"Salmovirus",0,0,0,NaN,NaN
"sav",2987,0.72676399026764,0,0,NaN
"sch",4073,0.990997566909976,509,0.124969310090842,34.6608672189352
"SGPV",892,0.217031630170316,0,0,NaN
"smallUK",1157,0.281508515815085,15,0.0129645635263613,23.1383559988
"sp_des",4057,0.987104622871046,88,0.0216909046093172,351.634267537284
"sp_sal",2987,0.72676399026764,0,0,NaN
"te_bry",4073,0.990997566909976,85,0.0208691382273508,1002.55839978884
"te_mar",3787,0.921411192214112,58,0.0153155532083443,299.671420258138
"toti",1136,0.27639902676399,1,0.000880281690140845,0.681975941
"ven",4071,0.990510948905109,471,0.115696389093589,7.03832924532696
"ver",4057,0.987104622871046,1,0.000246487552378605,2.971504356
