"","lower","25","mid","75","upper"
"arena2",-0.680482537106158,-0.0520434781820686,0.156695609194762,0.367607462984607,0.946997383151298
"c_b_cys",-0.442561198117833,-0.0277877299972331,0.177832256584253,0.376949899087223,0.831111496902451
"ce_sha",-0.587262375426929,-0.0362337877349495,0.199488232124471,0.500105712240492,1.44701759689303
"de_sal",-0.758884059879342,-0.322106904917328,-0.125659471709163,0.0777467230285578,0.585332298355946
"fl_psy",-0.6423115940288,-0.244631784043313,-0.0522634670945746,0.160730109864959,0.670909933391341
"ic_hof",-0.119854167500157,0.255954598118554,0.443152147701834,0.639688976322367,1.20538291060029
"ic_mul",-0.77303945793322,-0.42167258611751,-0.236757231990902,-0.0431785464473144,0.412931410966865
"IcD",-0.119563888687961,0.307990947595816,0.466188480177772,0.617544048413896,1.04384290336471
"lo_sal",-0.586584464645887,-0.0693410175109917,0.152858042436472,0.387161516589101,1.08281806584749
"my_arc",-0.319641266177912,0.0609216419026863,0.248905873451159,0.447079101210693,0.911332423906446
"pa_min",-0.401833475689501,0.0128688437673903,0.211472762249318,0.429442593417365,1.05729940711811
"pa_pse",-0.54966094219583,-0.0811013519678232,0.146133359107695,0.398576259694047,1.15172341589866
"pa_ther",-0.659816148423966,-0.168792350571867,0.040915912213892,0.27997153962392,0.889891655906449
"pspv",-0.724871712722947,-0.269715969876482,-0.0681757091007005,0.132160723369542,0.556467742819389
"Qin",-0.862927958467633,-0.307471466826867,-0.092066097226467,0.11430387983712,0.652502263259621
"rlo",-0.939548564164839,-0.496421013979301,-0.303420032096652,-0.114276391360354,0.340293817285532
"sch",-1.1546249811192,-0.49514632711244,-0.220743682336478,0.0710427960922072,0.962351666816031
"sp_des",-0.509481754901736,-0.0883141914457565,0.107519807007611,0.32145959597773,0.869550811510588
"te_bry",-0.341753010562041,0.0523561335262267,0.236211067541117,0.428319243357527,0.846458983820554
"richness",-0.523817264603314,-0.271116163539171,-0.147322867107302,-0.0253963443106532,0.212263748892053
"rib",-0.444523216628558,-0.195310766537892,-0.065946693548249,0.059075397117535,0.332432532104014
