"","X","Stock_Analysis","Year","orderID","brood_year","metric","resid_value","N","posdet","prev","mean_load","prevload","agent","prev_std","load_std"
"34",75,"Gates",2013,1480,2011,"SR_cov_resid",-0.341710855951546,40,1,0.025,3.500861691,0.087521542275,"ce_sha",-0.280788075341234,-0.433749091795355
"35",76,"Gates",2015,1482,2013,"SR_cov_resid",0.354033138866531,24,1,0.0416666666666667,116.1425806,4.83927419166667,"ce_sha",-0.16185092404064,2.71994144989481
"36",79,"Pitt",2013,1792,2011,"SR_cov_resid",1.12999545549457,30,0,0,NA,NA,"ce_sha",-0.459193802292124,NA
"37",81,"Portage",2013,1855,2011,"SR_cov_resid",-2.76094953064122,30,0,0,NA,NA,"ce_sha",-0.459193802292124,NA
"38",83,"Quesnel",2012,1921,2010,"SR_cov_resid",0.551398321188551,25,0,0,NA,NA,"ce_sha",-0.459193802292124,NA
"39",84,"Quesnel",2013,1922,2011,"SR_cov_resid",-1.11916717140012,95,0,0,NA,NA,"ce_sha",-0.459193802292124,NA
"40",85,"Quesnel",2015,1924,2013,"SR_cov_resid",-1.25651342926018,44,1,0.0227272727272727,76.89887348,1.74770167,"ce_sha",-0.297006777791315,1.62121436046547
"41",87,"Raft",2013,1989,2011,"SR_cov_resid",0.285596373739357,16,2,0.125,3.503670236,0.4379587795,"ce_sha",0.432834832462327,-0.433670459456572
"42",88,"Raft",2015,1991,2013,"SR_cov_resid",-1.63954921242504,29,2,0.0689655172413793,0.9830623265,0.0677974018275862,"ce_sha",0.0329599272275729,-0.504241269281673
"43",90,"Scotch",2012,2039,2010,"SR_cov_resid",-0.581486679711928,22,1,0.0454545454545455,0.89252062,0.0405691190909091,"ce_sha",-0.134819753290505,-0.506776213937909
"44",93,"Seymour",2012,2106,2010,"SR_cov_resid",-0.654741715033726,19,1,0.0526315789473684,20.07303991,1.05647578473684,"ce_sha",-0.083602798184987,0.0302310588155049
"45",96,"Stellako",2013,2174,2011,"SR_cov_resid",-1.07113210474373,47,4,0.0851063829787234,0.72683533675,0.0618583265319149,"ce_sha",0.148144842647077,-0.511414993563643
"46",97,"Stellako",2015,2176,2013,"SR_cov_resid",-0.385136581427814,17,2,0.117647058823529,3.353120756,0.394484794823529,"ce_sha",0.380362559829709,-0.437885473891108
"47",99,"Weaver",2015,2227,2013,"SR_cov_resid",-0.200278242308706,22,14,0.636363636363636,7.17838458742857,4.56806291927273,"ce_sha",4.08204288373053,-0.330787513370888
"48",102,"Chilko",2011,1309,2009,"SR_cov_resid",0.30629425435431,29,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"49",103,"Chilko",2012,1310,2010,"SR_cov_resid",0.685458079567512,92,2,0.0217391304347826,1.208115926,0.0262633896956522,"de_sal",0.141115470158599,-0.487186494634249
"50",104,"Chilko",2013,1311,2011,"SR_cov_resid",0.606684688038082,197,1,0.0050761421319797,346.0660045,1.75668022588832,"de_sal",-0.391926945909989,-0.452322012964224
"51",105,"Chilko",2014,1312,2012,"SR_cov_resid",0.742058742143178,30,0,0,NA,NA,"de_sal",-0.554310728288499,NA
"52",106,"Chilko",2015,1313,2013,"SR_cov_resid",-1.10092223207761,23,0,0,NA,NA,"de_sal",-0.554310728288499,NA
