"","agent","assays"
"1","IcD",142
"2","Qin",142
"3","arena2",228
"4","c_b_cys",842
"5","ce_sha",842
"6","de_sal",842
"7","fl_psy",842
"8","ic_hof",842
"9","ic_mul",842
"10","lo_sal",842
"11","my_arc",842
"12","pa_min",842
"13","pa_pse",842
"14","pa_ther",841
"15","pspv",842
"16","rib",891
"17","richness",891
"18","rlo",842
"19","sch",842
"20","sp_des",842
"21","te_bry",842
